
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Bihor, 28415 CETARIU, Anul 2007, Numar persoane, 37
0- 4 ani, Masculin, Bihor, 28415 CETARIU, Anul 2008, Numar persoane, 34
0- 4 ani, Masculin, Bihor, 28415 CETARIU, Anul 2009, Numar persoane, 34
0- 4 ani, Masculin, Bihor, 28415 CETARIU, Anul 2010, Numar persoane, 36
0- 4 ani, Masculin, Bihor, 28415 CETARIU, Anul 2011, Numar persoane, 36
0- 4 ani, Masculin, Bihor, 28415 CETARIU, Anul 2012, Numar persoane, 41
0- 4 ani, Masculin, Bihor, 28497 CHERECHIU, Anul 2007, Numar persoane, 90
0- 4 ani, Masculin, Bihor, 28497 CHERECHIU, Anul 2008, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 28497 CHERECHIU, Anul 2009, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 28497 CHERECHIU, Anul 2010, Numar persoane, 95
0- 4 ani, Masculin, Bihor, 28497 CHERECHIU, Anul 2011, Numar persoane, 96
0- 4 ani, Masculin, Bihor, 28497 CHERECHIU, Anul 2012, Numar persoane, 99
0- 4 ani, Masculin, Bihor, 28530 CHISLAZ, Anul 2007, Numar persoane, 85
0- 4 ani, Masculin, Bihor, 28530 CHISLAZ, Anul 2008, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 28530 CHISLAZ, Anul 2009, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 28530 CHISLAZ, Anul 2010, Numar persoane, 97
0- 4 ani, Masculin, Bihor, 28530 CHISLAZ, Anul 2011, Numar persoane, 89
0- 4 ani, Masculin, Bihor, 28530 CHISLAZ, Anul 2012, Numar persoane, 86
0- 4 ani, Masculin, Bihor, 28709 CIMPANI, Anul 2007, Numar persoane, 44
0- 4 ani, Masculin, Bihor, 28709 CIMPANI, Anul 2008, Numar persoane, 45
0- 4 ani, Masculin, Bihor, 28709 CIMPANI, Anul 2009, Numar persoane, 46
0- 4 ani, Masculin, Bihor, 28709 CIMPANI, Anul 2010, Numar persoane, 44
0- 4 ani, Masculin, Bihor, 28709 CIMPANI, Anul 2011, Numar persoane, 45
0- 4 ani, Masculin, Bihor, 28709 CIMPANI, Anul 2012, Numar persoane, 34
0- 4 ani, Masculin, Bihor, 28665 CIUMEGHIU, Anul 2007, Numar persoane, 158
0- 4 ani, Masculin, Bihor, 28665 CIUMEGHIU, Anul 2008, Numar persoane, 165
0- 4 ani, Masculin, Bihor, 28665 CIUMEGHIU, Anul 2009, Numar persoane, 160
0- 4 ani, Masculin, Bihor, 28665 CIUMEGHIU, Anul 2010, Numar persoane, 159
0- 4 ani, Masculin, Bihor, 28665 CIUMEGHIU, Anul 2011, Numar persoane, 156
0- 4 ani, Masculin, Bihor, 28665 CIUMEGHIU, Anul 2012, Numar persoane, 144
0- 4 ani, Masculin, Bihor, 28763 COCIUBA MARE, Anul 2007, Numar persoane, 96
0- 4 ani, Masculin, Bihor, 28763 COCIUBA MARE, Anul 2008, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 28763 COCIUBA MARE, Anul 2009, Numar persoane, 81
0- 4 ani, Masculin, Bihor, 28763 COCIUBA MARE, Anul 2010, Numar persoane, 88
0- 4 ani, Masculin, Bihor, 28763 COCIUBA MARE, Anul 2011, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 28763 COCIUBA MARE, Anul 2012, Numar persoane, 84
0- 4 ani, Masculin, Bihor, 28816 COPACEL, Anul 2007, Numar persoane, 58
0- 4 ani, Masculin, Bihor, 28816 COPACEL, Anul 2008, Numar persoane, 56
0- 4 ani, Masculin, Bihor, 28816 COPACEL, Anul 2009, Numar persoane, 49
0- 4 ani, Masculin, Bihor, 28816 COPACEL, Anul 2010, Numar persoane, 55
0- 4 ani, Masculin, Bihor, 28816 COPACEL, Anul 2011, Numar persoane, 64
0- 4 ani, Masculin, Bihor, 28816 COPACEL, Anul 2012, Numar persoane, 65
0- 4 ani, Masculin, Bihor, 28889 CRISTIORU DE JOS, Anul 2007, Numar persoane, 33
0- 4 ani, Masculin, Bihor, 28889 CRISTIORU DE JOS, Anul 2008, Numar persoane, 34
0- 4 ani, Masculin, Bihor, 28889 CRISTIORU DE JOS, Anul 2009, Numar persoane, 32
0- 4 ani, Masculin, Bihor, 28889 CRISTIORU DE JOS, Anul 2010, Numar persoane, 27
0- 4 ani, Masculin, Bihor, 28889 CRISTIORU DE JOS, Anul 2011, Numar persoane, 32
0- 4 ani, Masculin, Bihor, 28889 CRISTIORU DE JOS, Anul 2012, Numar persoane, 27
0- 4 ani, Masculin, Bihor, 28941 CURATELE, Anul 2007, Numar persoane, 53
0- 4 ani, Masculin, Bihor, 28941 CURATELE, Anul 2008, Numar persoane, 53
0- 4 ani, Masculin, Bihor, 28941 CURATELE, Anul 2009, Numar persoane, 52
0- 4 ani, Masculin, Bihor, 28941 CURATELE, Anul 2010, Numar persoane, 46
0- 4 ani, Masculin, Bihor, 28941 CURATELE, Anul 2011, Numar persoane, 40
