
Grupe de varsta a sotului , Grupa de varsta a sotiei, Ani, UM: Numar, Valoare
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2010, Numar, 6
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2011, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2013, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2014, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2015, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 40-44 ani, Anul 2016, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 1990, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 1991, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 1992, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 1994, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2001, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2002, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2003, Numar, 2
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2004, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2006, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2007, Numar, 3
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2009, Numar, 4
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2011, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2013, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 45-49 ani, Anul 2014, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 1990, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei 50-54 ani, Anul 1991, Numar, 2
