
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40214 ORAS GHIMBAV, Anul 2002, Numar persoane, 41
Brasov, 40214 ORAS GHIMBAV, Anul 2003, Numar persoane, 41
Brasov, 40214 ORAS GHIMBAV, Anul 2004, Numar persoane, 26
Brasov, 40214 ORAS GHIMBAV, Anul 2005, Numar persoane, 36
Brasov, 40214 ORAS GHIMBAV, Anul 2006, Numar persoane, 35
Brasov, 40214 ORAS GHIMBAV, Anul 2007, Numar persoane, 36
Brasov, 40214 ORAS GHIMBAV, Anul 2008, Numar persoane, 41
Brasov, 40214 ORAS GHIMBAV, Anul 2009, Numar persoane, 33
Brasov, 40214 ORAS GHIMBAV, Anul 2010, Numar persoane, 35
Brasov, 40214 ORAS GHIMBAV, Anul 2011, Numar persoane, 31
Brasov, 40214 ORAS GHIMBAV, Anul 2012, Numar persoane, 38
Brasov, 40214 ORAS GHIMBAV, Anul 2013, Numar persoane, 35
Brasov, 40214 ORAS GHIMBAV, Anul 2014, Numar persoane, 49
Brasov, 40214 ORAS GHIMBAV, Anul 2015, Numar persoane, 41
Brasov, 40214 ORAS GHIMBAV, Anul 2016, Numar persoane, 41
Brasov, 40303 ORAS PREDEAL, Anul 1990, Numar persoane, 68
Brasov, 40303 ORAS PREDEAL, Anul 1991, Numar persoane, 70
Brasov, 40303 ORAS PREDEAL, Anul 1992, Numar persoane, 55
Brasov, 40303 ORAS PREDEAL, Anul 1993, Numar persoane, 73
Brasov, 40303 ORAS PREDEAL, Anul 1994, Numar persoane, 77
Brasov, 40303 ORAS PREDEAL, Anul 1995, Numar persoane, 81
Brasov, 40303 ORAS PREDEAL, Anul 1996, Numar persoane, 81
Brasov, 40303 ORAS PREDEAL, Anul 1997, Numar persoane, 70
Brasov, 40303 ORAS PREDEAL, Anul 1998, Numar persoane, 79
Brasov, 40303 ORAS PREDEAL, Anul 1999, Numar persoane, 69
Brasov, 40303 ORAS PREDEAL, Anul 2000, Numar persoane, 77
Brasov, 40303 ORAS PREDEAL, Anul 2001, Numar persoane, 60
Brasov, 40303 ORAS PREDEAL, Anul 2002, Numar persoane, 65
Brasov, 40303 ORAS PREDEAL, Anul 2003, Numar persoane, 63
Brasov, 40303 ORAS PREDEAL, Anul 2004, Numar persoane, 90
Brasov, 40303 ORAS PREDEAL, Anul 2005, Numar persoane, 79
Brasov, 40303 ORAS PREDEAL, Anul 2006, Numar persoane, 67
Brasov, 40303 ORAS PREDEAL, Anul 2007, Numar persoane, 49
Brasov, 40303 ORAS PREDEAL, Anul 2008, Numar persoane, 63
Brasov, 40303 ORAS PREDEAL, Anul 2009, Numar persoane, 59
Brasov, 40303 ORAS PREDEAL, Anul 2010, Numar persoane, 58
Brasov, 40303 ORAS PREDEAL, Anul 2011, Numar persoane, 69
Brasov, 40303 ORAS PREDEAL, Anul 2012, Numar persoane, 60
Brasov, 40303 ORAS PREDEAL, Anul 2013, Numar persoane, 41
Brasov, 40303 ORAS PREDEAL, Anul 2014, Numar persoane, 56
Brasov, 40303 ORAS PREDEAL, Anul 2015, Numar persoane, 58
Brasov, 40303 ORAS PREDEAL, Anul 2016, Numar persoane, 50
Brasov, 40367 ORAS RASNOV, Anul 1990, Numar persoane, 120
Brasov, 40367 ORAS RASNOV, Anul 1991, Numar persoane, 99
Brasov, 40367 ORAS RASNOV, Anul 1992, Numar persoane, 115
Brasov, 40367 ORAS RASNOV, Anul 1993, Numar persoane, 106
Brasov, 40367 ORAS RASNOV, Anul 1994, Numar persoane, 114
Brasov, 40367 ORAS RASNOV, Anul 1995, Numar persoane, 102
Brasov, 40367 ORAS RASNOV, Anul 1996, Numar persoane, 121
Brasov, 40367 ORAS RASNOV, Anul 1997, Numar persoane, 153
Brasov, 40367 ORAS RASNOV, Anul 1998, Numar persoane, 123
Brasov, 40367 ORAS RASNOV, Anul 1999, Numar persoane, 120
Brasov, 40367 ORAS RASNOV, Anul 2000, Numar persoane, 117
Brasov, 40367 ORAS RASNOV, Anul 2001, Numar persoane, 120
Brasov, 40367 ORAS RASNOV, Anul 2002, Numar persoane, 127
Brasov, 40367 ORAS RASNOV, Anul 2003, Numar persoane, 128
Brasov, 40367 ORAS RASNOV, Anul 2004, Numar persoane, 143
Brasov, 40367 ORAS RASNOV, Anul 2005, Numar persoane, 121
Brasov, 40367 ORAS RASNOV, Anul 2006, Numar persoane, 123
Brasov, 40367 ORAS RASNOV, Anul 2007, Numar persoane, 126
Brasov, 40367 ORAS RASNOV, Anul 2008, Numar persoane, 122
Brasov, 40367 ORAS RASNOV, Anul 2009, Numar persoane, 142
Brasov, 40367 ORAS RASNOV, Anul 2010, Numar persoane, 124
Brasov, 40367 ORAS RASNOV, Anul 2011, Numar persoane, 122
Brasov, 40367 ORAS RASNOV, Anul 2012, Numar persoane, 150
Brasov, 40367 ORAS RASNOV, Anul 2013, Numar persoane, 159
Brasov, 40367 ORAS RASNOV, Anul 2014, Numar persoane, 149
Brasov, 40367 ORAS RASNOV, Anul 2015, Numar persoane, 153
