
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2002, Numar persoane, 58
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2003, Numar persoane, 82
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2004, Numar persoane, 90
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2005, Numar persoane, 70
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2006, Numar persoane, 57
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2007, Numar persoane, 71
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2008, Numar persoane, 68
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2009, Numar persoane, 69
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2010, Numar persoane, 77
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2011, Numar persoane, 49
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2012, Numar persoane, 83
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2013, Numar persoane, 62
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2014, Numar persoane, 75
Mures, 119331 ORAS SANGEORGIU DE PADURE, Anul 2015, Numar persoane, 79
Mures, 119242 ORAS SARMASU, Anul 1990, Numar persoane, 352
Mures, 119242 ORAS SARMASU, Anul 1991, Numar persoane, 128
Mures, 119242 ORAS SARMASU, Anul 1992, Numar persoane, 132
Mures, 119242 ORAS SARMASU, Anul 1993, Numar persoane, 98
Mures, 119242 ORAS SARMASU, Anul 1994, Numar persoane, 109
Mures, 119242 ORAS SARMASU, Anul 1995, Numar persoane, 126
Mures, 119242 ORAS SARMASU, Anul 1996, Numar persoane, 102
Mures, 119242 ORAS SARMASU, Anul 1997, Numar persoane, 98
Mures, 119242 ORAS SARMASU, Anul 1998, Numar persoane, 63
Mures, 119242 ORAS SARMASU, Anul 1999, Numar persoane, 78
Mures, 119242 ORAS SARMASU, Anul 2000, Numar persoane, 79
Mures, 119242 ORAS SARMASU, Anul 2001, Numar persoane, 68
Mures, 119242 ORAS SARMASU, Anul 2002, Numar persoane, 90
Mures, 119242 ORAS SARMASU, Anul 2003, Numar persoane, 65
Mures, 119242 ORAS SARMASU, Anul 2004, Numar persoane, 100
Mures, 119242 ORAS SARMASU, Anul 2005, Numar persoane, 68
Mures, 119242 ORAS SARMASU, Anul 2006, Numar persoane, 89
Mures, 119242 ORAS SARMASU, Anul 2007, Numar persoane, 109
Mures, 119242 ORAS SARMASU, Anul 2008, Numar persoane, 82
Mures, 119242 ORAS SARMASU, Anul 2009, Numar persoane, 105
Mures, 119242 ORAS SARMASU, Anul 2010, Numar persoane, 131
Mures, 119242 ORAS SARMASU, Anul 2011, Numar persoane, 104
Mures, 119242 ORAS SARMASU, Anul 2012, Numar persoane, 98
Mures, 119242 ORAS SARMASU, Anul 2013, Numar persoane, 90
Mures, 119242 ORAS SARMASU, Anul 2014, Numar persoane, 116
Mures, 119242 ORAS SARMASU, Anul 2015, Numar persoane, 87
Mures, 114854 ORAS SOVATA, Anul 1990, Numar persoane, 262
Mures, 114854 ORAS SOVATA, Anul 1991, Numar persoane, 125
Mures, 114854 ORAS SOVATA, Anul 1992, Numar persoane, 123
Mures, 114854 ORAS SOVATA, Anul 1993, Numar persoane, 100
Mures, 114854 ORAS SOVATA, Anul 1994, Numar persoane, 113
Mures, 114854 ORAS SOVATA, Anul 1995, Numar persoane, 120
Mures, 114854 ORAS SOVATA, Anul 1996, Numar persoane, 107
Mures, 114854 ORAS SOVATA, Anul 1997, Numar persoane, 122
Mures, 114854 ORAS SOVATA, Anul 1998, Numar persoane, 101
Mures, 114854 ORAS SOVATA, Anul 1999, Numar persoane, 111
Mures, 114854 ORAS SOVATA, Anul 2000, Numar persoane, 106
Mures, 114854 ORAS SOVATA, Anul 2001, Numar persoane, 103
Mures, 114854 ORAS SOVATA, Anul 2002, Numar persoane, 103
Mures, 114854 ORAS SOVATA, Anul 2003, Numar persoane, 124
Mures, 114854 ORAS SOVATA, Anul 2004, Numar persoane, 176
Mures, 114854 ORAS SOVATA, Anul 2005, Numar persoane, 189
Mures, 114854 ORAS SOVATA, Anul 2006, Numar persoane, 252
Mures, 114854 ORAS SOVATA, Anul 2007, Numar persoane, 294
