
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136642 ORAS TASNAD, Anul 2008, Numar, 16
Satu Mare, 136642 ORAS TASNAD, Anul 2009, Numar, 12
Satu Mare, 136642 ORAS TASNAD, Anul 2010, Numar, 24
Satu Mare, 136642 ORAS TASNAD, Anul 2011, Numar, 8
Satu Mare, 136642 ORAS TASNAD, Anul 2012, Numar, 13
Satu Mare, 136642 ORAS TASNAD, Anul 2013, Numar, 20
Satu Mare, 136642 ORAS TASNAD, Anul 2014, Numar, 8
Satu Mare, 136642 ORAS TASNAD, Anul 2015, Numar, 16
Satu Mare, 136642 ORAS TASNAD, Anul 2016, Numar, 9
Satu Mare, 136713 ACIS, Anul 1990, Numar, 2
Satu Mare, 136713 ACIS, Anul 1991, Numar, 2
Satu Mare, 136713 ACIS, Anul 1994, Numar, 3
Satu Mare, 136713 ACIS, Anul 1995, Numar, 4
Satu Mare, 136713 ACIS, Anul 1996, Numar, 1
Satu Mare, 136713 ACIS, Anul 1997, Numar, 1
Satu Mare, 136713 ACIS, Anul 1998, Numar, 4
Satu Mare, 136713 ACIS, Anul 1999, Numar, 5
Satu Mare, 136713 ACIS, Anul 2000, Numar, 1
Satu Mare, 136713 ACIS, Anul 2001, Numar, 4
Satu Mare, 136713 ACIS, Anul 2002, Numar, 1
Satu Mare, 136713 ACIS, Anul 2003, Numar, 4
Satu Mare, 136713 ACIS, Anul 2004, Numar, 5
Satu Mare, 136713 ACIS, Anul 2005, Numar, 3
Satu Mare, 136713 ACIS, Anul 2006, Numar, 10
Satu Mare, 136713 ACIS, Anul 2007, Numar, 8
Satu Mare, 136713 ACIS, Anul 2008, Numar, 2
Satu Mare, 136713 ACIS, Anul 2009, Numar, 3
Satu Mare, 136713 ACIS, Anul 2010, Numar, 2
Satu Mare, 136713 ACIS, Anul 2011, Numar, 4
Satu Mare, 136713 ACIS, Anul 2012, Numar, 3
Satu Mare, 136713 ACIS, Anul 2013, Numar, 4
Satu Mare, 136713 ACIS, Anul 2014, Numar, 1
Satu Mare, 136713 ACIS, Anul 2015, Numar, 6
Satu Mare, 136713 ACIS, Anul 2016, Numar, 3
Satu Mare, 179873 AGRIS, Anul 2005, Numar, 1
Satu Mare, 179873 AGRIS, Anul 2006, Numar, 4
Satu Mare, 179873 AGRIS, Anul 2007, Numar, 4
Satu Mare, 179873 AGRIS, Anul 2009, Numar, 1
Satu Mare, 179873 AGRIS, Anul 2010, Numar, 1
Satu Mare, 179873 AGRIS, Anul 2012, Numar, 1
Satu Mare, 179873 AGRIS, Anul 2015, Numar, 1
Satu Mare, 136768 ANDRID, Anul 1992, Numar, 1
Satu Mare, 136768 ANDRID, Anul 1993, Numar, 1
Satu Mare, 136768 ANDRID, Anul 1994, Numar, 1
Satu Mare, 136768 ANDRID, Anul 1995, Numar, 3
Satu Mare, 136768 ANDRID, Anul 1996, Numar, 2
Satu Mare, 136768 ANDRID, Anul 1997, Numar, 2
Satu Mare, 136768 ANDRID, Anul 1999, Numar, 1
Satu Mare, 136768 ANDRID, Anul 2000, Numar, 6
Satu Mare, 136768 ANDRID, Anul 2001, Numar, 1
Satu Mare, 136768 ANDRID, Anul 2002, Numar, 2
Satu Mare, 136768 ANDRID, Anul 2003, Numar, 2
Satu Mare, 136768 ANDRID, Anul 2004, Numar, 3
Satu Mare, 136768 ANDRID, Anul 2005, Numar, 5
Satu Mare, 136768 ANDRID, Anul 2006, Numar, 2
Satu Mare, 136768 ANDRID, Anul 2007, Numar, 2
Satu Mare, 136768 ANDRID, Anul 2008, Numar, 2
Satu Mare, 136768 ANDRID, Anul 2009, Numar, 2
Satu Mare, 136768 ANDRID, Anul 2010, Numar, 3
Satu Mare, 136768 ANDRID, Anul 2011, Numar, 4
Satu Mare, 136768 ANDRID, Anul 2012, Numar, 3
Satu Mare, 136768 ANDRID, Anul 2013, Numar, 3
Satu Mare, 136768 ANDRID, Anul 2014, Numar, 6
Satu Mare, 136768 ANDRID, Anul 2015, Numar, 1
Satu Mare, 136768 ANDRID, Anul 2016, Numar, 1
Satu Mare, 136802 APA, Anul 1990, Numar, 5
Satu Mare, 136802 APA, Anul 1991, Numar, 2
Satu Mare, 136802 APA, Anul 1992, Numar, 1
Satu Mare, 136802 APA, Anul 1993, Numar, 2
Satu Mare, 136802 APA, Anul 1994, Numar, 3
Satu Mare, 136802 APA, Anul 1995, Numar, 1
Satu Mare, 136802 APA, Anul 1996, Numar, 2
Satu Mare, 136802 APA, Anul 1997, Numar, 2
Satu Mare, 136802 APA, Anul 1998, Numar, 6
Satu Mare, 136802 APA, Anul 1999, Numar, 2
Satu Mare, 136802 APA, Anul 2001, Numar, 2
Satu Mare, 136802 APA, Anul 2002, Numar, 2
Satu Mare, 136802 APA, Anul 2003, Numar, 3
Satu Mare, 136802 APA, Anul 2004, Numar, 7
Satu Mare, 136802 APA, Anul 2005, Numar, 6
Satu Mare, 136802 APA, Anul 2006, Numar, 2
Satu Mare, 136802 APA, Anul 2007, Numar, 2
Satu Mare, 136802 APA, Anul 2008, Numar, 4
Satu Mare, 136802 APA, Anul 2009, Numar, 1
Satu Mare, 136802 APA, Anul 2010, Numar, 3
Satu Mare, 136802 APA, Anul 2011, Numar, 3
Satu Mare, 136802 APA, Anul 2012, Numar, 3
Satu Mare, 136802 APA, Anul 2013, Numar, 3
Satu Mare, 136802 APA, Anul 2014, Numar, 4
Satu Mare, 136802 APA, Anul 2015, Numar, 3
Satu Mare, 136802 APA, Anul 2016, Numar, 3
Satu Mare, 136919 BATARCI, Anul 1990, Numar, 2
Satu Mare, 136919 BATARCI, Anul 1991, Numar, 3
Satu Mare, 136919 BATARCI, Anul 1992, Numar, 1
Satu Mare, 136919 BATARCI, Anul 1994, Numar, 2
Satu Mare, 136919 BATARCI, Anul 1995, Numar, 2
Satu Mare, 136919 BATARCI, Anul 1996, Numar, 2
Satu Mare, 136919 BATARCI, Anul 1998, Numar, 3
Satu Mare, 136919 BATARCI, Anul 1999, Numar, 5
Satu Mare, 136919 BATARCI, Anul 2000, Numar, 1
Satu Mare, 136919 BATARCI, Anul 2001, Numar, 2
Satu Mare, 136919 BATARCI, Anul 2002, Numar, 1
Satu Mare, 136919 BATARCI, Anul 2003, Numar, 8
Satu Mare, 136919 BATARCI, Anul 2004, Numar, 2
Satu Mare, 136919 BATARCI, Anul 2005, Numar, 2
Satu Mare, 136919 BATARCI, Anul 2006, Numar, 1
Satu Mare, 136919 BATARCI, Anul 2007, Numar, 3
Satu Mare, 136919 BATARCI, Anul 2008, Numar, 6
Satu Mare, 136919 BATARCI, Anul 2009, Numar, 2
Satu Mare, 136919 BATARCI, Anul 2010, Numar, 4
Satu Mare, 136919 BATARCI, Anul 2011, Numar, 3
Satu Mare, 136919 BATARCI, Anul 2012, Numar, 2
Satu Mare, 136919 BATARCI, Anul 2013, Numar, 3
Satu Mare, 136919 BATARCI, Anul 2014, Numar, 3
Satu Mare, 136919 BATARCI, Anul 2015, Numar, 5
Satu Mare, 136919 BATARCI, Anul 2016, Numar, 7
Satu Mare, 136964 BELTIUG, Anul 1990, Numar, 4
Satu Mare, 136964 BELTIUG, Anul 1991, Numar, 3
Satu Mare, 136964 BELTIUG, Anul 1992, Numar, 1
Satu Mare, 136964 BELTIUG, Anul 1993, Numar, 3
Satu Mare, 136964 BELTIUG, Anul 1994, Numar, 2
Satu Mare, 136964 BELTIUG, Anul 1996, Numar, 1
Satu Mare, 136964 BELTIUG, Anul 1997, Numar, 6
Satu Mare, 136964 BELTIUG, Anul 1998, Numar, 6
Satu Mare, 136964 BELTIUG, Anul 1999, Numar, 1
Satu Mare, 136964 BELTIUG, Anul 2000, Numar, 1
Satu Mare, 136964 BELTIUG, Anul 2001, Numar, 2
Satu Mare, 136964 BELTIUG, Anul 2002, Numar, 4
Satu Mare, 136964 BELTIUG, Anul 2003, Numar, 2
Satu Mare, 136964 BELTIUG, Anul 2004, Numar, 1
Satu Mare, 136964 BELTIUG, Anul 2005, Numar, 5
Satu Mare, 136964 BELTIUG, Anul 2006, Numar, 4
Satu Mare, 136964 BELTIUG, Anul 2007, Numar, 6
Satu Mare, 136964 BELTIUG, Anul 2008, Numar, 7
Satu Mare, 136964 BELTIUG, Anul 2009, Numar, 1
Satu Mare, 136964 BELTIUG, Anul 2010, Numar, 3
Satu Mare, 136964 BELTIUG, Anul 2011, Numar, 5
Satu Mare, 136964 BELTIUG, Anul 2012, Numar, 4
Satu Mare, 136964 BELTIUG, Anul 2013, Numar, 3
Satu Mare, 136964 BELTIUG, Anul 2014, Numar, 2
Satu Mare, 136964 BELTIUG, Anul 2015, Numar, 8
Satu Mare, 136964 BELTIUG, Anul 2016, Numar, 5
Satu Mare, 137032 BERVENI, Anul 1990, Numar, 1
Satu Mare, 137032 BERVENI, Anul 1991, Numar, 6
Satu Mare, 137032 BERVENI, Anul 1992, Numar, 4
Satu Mare, 137032 BERVENI, Anul 1993, Numar, 2
Satu Mare, 137032 BERVENI, Anul 1994, Numar, 3
Satu Mare, 137032 BERVENI, Anul 1995, Numar, 4
Satu Mare, 137032 BERVENI, Anul 1996, Numar, 3
Satu Mare, 137032 BERVENI, Anul 1997, Numar, 9
Satu Mare, 137032 BERVENI, Anul 1998, Numar, 5
Satu Mare, 137032 BERVENI, Anul 1999, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2000, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2002, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2003, Numar, 4
Satu Mare, 137032 BERVENI, Anul 2004, Numar, 12
Satu Mare, 137032 BERVENI, Anul 2005, Numar, 7
Satu Mare, 137032 BERVENI, Anul 2006, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2007, Numar, 9
Satu Mare, 137032 BERVENI, Anul 2008, Numar, 6
Satu Mare, 137032 BERVENI, Anul 2009, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2010, Numar, 9
Satu Mare, 137032 BERVENI, Anul 2011, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2012, Numar, 4
Satu Mare, 137032 BERVENI, Anul 2013, Numar, 5
Satu Mare, 137032 BERVENI, Anul 2014, Numar, 2
Satu Mare, 137032 BERVENI, Anul 2015, Numar, 1
Satu Mare, 137032 BERVENI, Anul 2016, Numar, 3
Satu Mare, 137103 BIRSAU, Anul 1990, Numar, 4
Satu Mare, 137103 BIRSAU, Anul 1992, Numar, 3
Satu Mare, 137103 BIRSAU, Anul 1994, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 1995, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 1999, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2002, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2003, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2004, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2005, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2006, Numar, 2
Satu Mare, 137103 BIRSAU, Anul 2008, Numar, 3
Satu Mare, 137103 BIRSAU, Anul 2011, Numar, 3
Satu Mare, 137103 BIRSAU, Anul 2013, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2014, Numar, 1
Satu Mare, 137103 BIRSAU, Anul 2016, Numar, 6
Satu Mare, 137069 BIXAD, Anul 1990, Numar, 7
Satu Mare, 137069 BIXAD, Anul 1991, Numar, 8
Satu Mare, 137069 BIXAD, Anul 1992, Numar, 6
Satu Mare, 137069 BIXAD, Anul 1993, Numar, 6
Satu Mare, 137069 BIXAD, Anul 1994, Numar, 8
Satu Mare, 137069 BIXAD, Anul 1995, Numar, 2
Satu Mare, 137069 BIXAD, Anul 1996, Numar, 12
Satu Mare, 137069 BIXAD, Anul 1997, Numar, 14
Satu Mare, 137069 BIXAD, Anul 1998, Numar, 15
Satu Mare, 137069 BIXAD, Anul 1999, Numar, 13
Satu Mare, 137069 BIXAD, Anul 2000, Numar, 18
Satu Mare, 137069 BIXAD, Anul 2001, Numar, 25
Satu Mare, 137069 BIXAD, Anul 2002, Numar, 31
Satu Mare, 137069 BIXAD, Anul 2003, Numar, 33
Satu Mare, 137069 BIXAD, Anul 2004, Numar, 32
Satu Mare, 137069 BIXAD, Anul 2005, Numar, 28
Satu Mare, 137069 BIXAD, Anul 2006, Numar, 22
Satu Mare, 137069 BIXAD, Anul 2007, Numar, 20
Satu Mare, 137069 BIXAD, Anul 2008, Numar, 21
Satu Mare, 137069 BIXAD, Anul 2009, Numar, 10
Satu Mare, 137069 BIXAD, Anul 2010, Numar, 20
Satu Mare, 137069 BIXAD, Anul 2011, Numar, 13
Satu Mare, 137069 BIXAD, Anul 2012, Numar, 19
Satu Mare, 137069 BIXAD, Anul 2013, Numar, 3
Satu Mare, 137069 BIXAD, Anul 2014, Numar, 9
Satu Mare, 137069 BIXAD, Anul 2015, Numar, 14
Satu Mare, 137069 BIXAD, Anul 2016, Numar, 13
Satu Mare, 137130 BOGDAND, Anul 1990, Numar, 3
Satu Mare, 137130 BOGDAND, Anul 1991, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 1992, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 1995, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 1996, Numar, 2
Satu Mare, 137130 BOGDAND, Anul 1997, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 1998, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 1999, Numar, 5
Satu Mare, 137130 BOGDAND, Anul 2000, Numar, 3
Satu Mare, 137130 BOGDAND, Anul 2002, Numar, 2
Satu Mare, 137130 BOGDAND, Anul 2003, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 2004, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 2005, Numar, 4
Satu Mare, 137130 BOGDAND, Anul 2006, Numar, 5
Satu Mare, 137130 BOGDAND, Anul 2007, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 2008, Numar, 2
Satu Mare, 137130 BOGDAND, Anul 2009, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 2010, Numar, 1
Satu Mare, 137130 BOGDAND, Anul 2011, Numar, 4
Satu Mare, 137130 BOGDAND, Anul 2012, Numar, 3
Satu Mare, 137130 BOGDAND, Anul 2015, Numar, 4
Satu Mare, 137130 BOGDAND, Anul 2016, Numar, 2
Satu Mare, 137185 BOTIZ, Anul 1990, Numar, 4
Satu Mare, 137185 BOTIZ, Anul 1991, Numar, 4
Satu Mare, 137185 BOTIZ, Anul 1992, Numar, 2
Satu Mare, 137185 BOTIZ, Anul 1993, Numar, 5
Satu Mare, 137185 BOTIZ, Anul 1994, Numar, 3
Satu Mare, 137185 BOTIZ, Anul 1995, Numar, 3
Satu Mare, 137185 BOTIZ, Anul 1996, Numar, 2
Satu Mare, 137185 BOTIZ, Anul 1997, Numar, 2
Satu Mare, 137185 BOTIZ, Anul 1998, Numar, 3
Satu Mare, 137185 BOTIZ, Anul 1999, Numar, 2
Satu Mare, 137185 BOTIZ, Anul 2000, Numar, 3
Satu Mare, 137185 BOTIZ, Anul 2001, Numar, 2
Satu Mare, 137185 BOTIZ, Anul 2002, Numar, 10
Satu Mare, 137185 BOTIZ, Anul 2003, Numar, 3
Satu Mare, 137185 BOTIZ, Anul 2004, Numar, 6
Satu Mare, 137185 BOTIZ, Anul 2005, Numar, 8
Satu Mare, 137185 BOTIZ, Anul 2006, Numar, 3
Satu Mare, 137185 BOTIZ, Anul 2007, Numar, 6
Satu Mare, 137185 BOTIZ, Anul 2008, Numar, 4
Satu Mare, 137185 BOTIZ, Anul 2009, Numar, 4
Satu Mare, 137185 BOTIZ, Anul 2010, Numar, 3
