
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136964 BELTIUG, Anul 2011, Numar, 16
Satu Mare, 136964 BELTIUG, Anul 2012, Numar, 18
Satu Mare, 136964 BELTIUG, Anul 2013, Numar, 19
Satu Mare, 136964 BELTIUG, Anul 2014, Numar, 13
Satu Mare, 136964 BELTIUG, Anul 2015, Numar, 19
Satu Mare, 136964 BELTIUG, Anul 2016, Numar, 16
Satu Mare, 137032 BERVENI, Anul 1990, Numar, 31
Satu Mare, 137032 BERVENI, Anul 1991, Numar, 28
Satu Mare, 137032 BERVENI, Anul 1992, Numar, 25
Satu Mare, 137032 BERVENI, Anul 1993, Numar, 20
Satu Mare, 137032 BERVENI, Anul 1994, Numar, 31
Satu Mare, 137032 BERVENI, Anul 1995, Numar, 28
Satu Mare, 137032 BERVENI, Anul 1996, Numar, 26
Satu Mare, 137032 BERVENI, Anul 1997, Numar, 24
Satu Mare, 137032 BERVENI, Anul 1998, Numar, 28
Satu Mare, 137032 BERVENI, Anul 1999, Numar, 32
Satu Mare, 137032 BERVENI, Anul 2000, Numar, 23
Satu Mare, 137032 BERVENI, Anul 2001, Numar, 13
Satu Mare, 137032 BERVENI, Anul 2002, Numar, 17
Satu Mare, 137032 BERVENI, Anul 2003, Numar, 21
Satu Mare, 137032 BERVENI, Anul 2004, Numar, 20
Satu Mare, 137032 BERVENI, Anul 2005, Numar, 19
Satu Mare, 137032 BERVENI, Anul 2006, Numar, 19
Satu Mare, 137032 BERVENI, Anul 2007, Numar, 30
Satu Mare, 137032 BERVENI, Anul 2008, Numar, 11
Satu Mare, 137032 BERVENI, Anul 2009, Numar, 19
Satu Mare, 137032 BERVENI, Anul 2010, Numar, 11
Satu Mare, 137032 BERVENI, Anul 2011, Numar, 19
Satu Mare, 137032 BERVENI, Anul 2012, Numar, 12
Satu Mare, 137032 BERVENI, Anul 2013, Numar, 18
Satu Mare, 137032 BERVENI, Anul 2014, Numar, 15
Satu Mare, 137032 BERVENI, Anul 2015, Numar, 17
Satu Mare, 137032 BERVENI, Anul 2016, Numar, 16
Satu Mare, 137103 BIRSAU, Anul 1990, Numar, 20
Satu Mare, 137103 BIRSAU, Anul 1991, Numar, 29
Satu Mare, 137103 BIRSAU, Anul 1992, Numar, 34
Satu Mare, 137103 BIRSAU, Anul 1993, Numar, 25
Satu Mare, 137103 BIRSAU, Anul 1994, Numar, 17
Satu Mare, 137103 BIRSAU, Anul 1995, Numar, 19
Satu Mare, 137103 BIRSAU, Anul 1996, Numar, 24
Satu Mare, 137103 BIRSAU, Anul 1997, Numar, 28
Satu Mare, 137103 BIRSAU, Anul 1998, Numar, 15
Satu Mare, 137103 BIRSAU, Anul 1999, Numar, 18
Satu Mare, 137103 BIRSAU, Anul 2000, Numar, 26
Satu Mare, 137103 BIRSAU, Anul 2001, Numar, 16
Satu Mare, 137103 BIRSAU, Anul 2002, Numar, 14
Satu Mare, 137103 BIRSAU, Anul 2003, Numar, 16
Satu Mare, 137103 BIRSAU, Anul 2004, Numar, 9
Satu Mare, 137103 BIRSAU, Anul 2005, Numar, 15
Satu Mare, 137103 BIRSAU, Anul 2006, Numar, 13
Satu Mare, 137103 BIRSAU, Anul 2007, Numar, 21
Satu Mare, 137103 BIRSAU, Anul 2008, Numar, 22
Satu Mare, 137103 BIRSAU, Anul 2009, Numar, 19
Satu Mare, 137103 BIRSAU, Anul 2010, Numar, 15
Satu Mare, 137103 BIRSAU, Anul 2011, Numar, 13
Satu Mare, 137103 BIRSAU, Anul 2012, Numar, 15
Satu Mare, 137103 BIRSAU, Anul 2013, Numar, 14
Satu Mare, 137103 BIRSAU, Anul 2014, Numar, 19
Satu Mare, 137103 BIRSAU, Anul 2015, Numar, 14
Satu Mare, 137103 BIRSAU, Anul 2016, Numar, 9
Satu Mare, 137069 BIXAD, Anul 1990, Numar, 78
Satu Mare, 137069 BIXAD, Anul 1991, Numar, 54
Satu Mare, 137069 BIXAD, Anul 1992, Numar, 64
Satu Mare, 137069 BIXAD, Anul 1993, Numar, 53
Satu Mare, 137069 BIXAD, Anul 1994, Numar, 68
Satu Mare, 137069 BIXAD, Anul 1995, Numar, 53
Satu Mare, 137069 BIXAD, Anul 1996, Numar, 62
Satu Mare, 137069 BIXAD, Anul 1997, Numar, 46
Satu Mare, 137069 BIXAD, Anul 1998, Numar, 55
Satu Mare, 137069 BIXAD, Anul 1999, Numar, 55
Satu Mare, 137069 BIXAD, Anul 2000, Numar, 53
Satu Mare, 137069 BIXAD, Anul 2001, Numar, 64
Satu Mare, 137069 BIXAD, Anul 2002, Numar, 110
Satu Mare, 137069 BIXAD, Anul 2003, Numar, 72
Satu Mare, 137069 BIXAD, Anul 2004, Numar, 75
Satu Mare, 137069 BIXAD, Anul 2005, Numar, 53
Satu Mare, 137069 BIXAD, Anul 2006, Numar, 58
Satu Mare, 137069 BIXAD, Anul 2007, Numar, 78
Satu Mare, 137069 BIXAD, Anul 2008, Numar, 58
Satu Mare, 137069 BIXAD, Anul 2009, Numar, 62
Satu Mare, 137069 BIXAD, Anul 2010, Numar, 74
Satu Mare, 137069 BIXAD, Anul 2011, Numar, 66
Satu Mare, 137069 BIXAD, Anul 2012, Numar, 66
Satu Mare, 137069 BIXAD, Anul 2013, Numar, 63
Satu Mare, 137069 BIXAD, Anul 2014, Numar, 47
Satu Mare, 137069 BIXAD, Anul 2015, Numar, 57
Satu Mare, 137069 BIXAD, Anul 2016, Numar, 50
Satu Mare, 137130 BOGDAND, Anul 1990, Numar, 25
Satu Mare, 137130 BOGDAND, Anul 1991, Numar, 22
Satu Mare, 137130 BOGDAND, Anul 1992, Numar, 29
Satu Mare, 137130 BOGDAND, Anul 1993, Numar, 29
Satu Mare, 137130 BOGDAND, Anul 1994, Numar, 31
Satu Mare, 137130 BOGDAND, Anul 1995, Numar, 33
Satu Mare, 137130 BOGDAND, Anul 1996, Numar, 29
Satu Mare, 137130 BOGDAND, Anul 1997, Numar, 20
Satu Mare, 137130 BOGDAND, Anul 1998, Numar, 22
Satu Mare, 137130 BOGDAND, Anul 1999, Numar, 19
Satu Mare, 137130 BOGDAND, Anul 2000, Numar, 20
Satu Mare, 137130 BOGDAND, Anul 2001, Numar, 18
Satu Mare, 137130 BOGDAND, Anul 2002, Numar, 15
Satu Mare, 137130 BOGDAND, Anul 2003, Numar, 14
Satu Mare, 137130 BOGDAND, Anul 2004, Numar, 20
Satu Mare, 137130 BOGDAND, Anul 2005, Numar, 17
Satu Mare, 137130 BOGDAND, Anul 2006, Numar, 9
Satu Mare, 137130 BOGDAND, Anul 2007, Numar, 26
Satu Mare, 137130 BOGDAND, Anul 2008, Numar, 11
Satu Mare, 137130 BOGDAND, Anul 2009, Numar, 12
Satu Mare, 137130 BOGDAND, Anul 2010, Numar, 9
Satu Mare, 137130 BOGDAND, Anul 2011, Numar, 9
Satu Mare, 137130 BOGDAND, Anul 2012, Numar, 14
Satu Mare, 137130 BOGDAND, Anul 2013, Numar, 4
