
Starea civila anterioara a sotului, Starea civila anterioara a sotiei, Ani, UM: Numar, Valoare
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2005, Numar, 9737
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2006, Numar, 9701
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2007, Numar, 9448
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2008, Numar, 9616
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2009, Numar, 8205
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2010, Numar, 7298
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2011, Numar, 6879
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2012, Numar, 7140
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2013, Numar, 7052
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2014, Numar, 7317
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2015, Numar, 7598
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:necasatorita, Anul 2016, Numar, 8121
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1990, Numar, 1555
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1991, Numar, 1505
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1992, Numar, 1383
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1993, Numar, 1274
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1994, Numar, 1279
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1995, Numar, 1296
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1996, Numar, 1296
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1997, Numar, 1210
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1998, Numar, 1275
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 1999, Numar, 1132
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2000, Numar, 1056
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2001, Numar, 943
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2002, Numar, 1027
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2003, Numar, 1012
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2004, Numar, 1065
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2005, Numar, 1026
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2006, Numar, 1059
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2007, Numar, 1061
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2008, Numar, 1063
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2009, Numar, 837
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2010, Numar, 710
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2011, Numar, 698
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2012, Numar, 670
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2013, Numar, 687
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2014, Numar, 753
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2015, Numar, 813
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:vaduva, Anul 2016, Numar, 850
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1990, Numar, 8453
Starea civila anterioara a sotului:divortat, Starea civila anterioara a sotiei:divortata, Anul 1991, Numar, 7961
