falu|megye|hun
Lazesti |Vadu Motilor, AB|
Leasa |Halmagiu, AR|Sövényes
Leaut |Tomesti, HD|Lyauc
Lechincioara |sincai, MS|Kislekence
Lechinta |Lechinta, BN|Szászlekence
Lechinta |Oras Iernut, MS|Maroslekence
Lechinta |Calinesti-Oas, SM|Avaslekence
Lefaia |Craiesti, MS|Lefája
Leghia |Aghiresu, CJ|Jegenye
Legii |Geaca, CJ|Légen
Leheceni |Carpinet, BH|Lehecsény
Lehesti |Sohodol, AB|
Lelei |Hodod, SM|Lele
Lelese |Lelese, HD|Lelesz
Lelesti |Buntesti, BH|Lelesd
Lelesti |Petru Rares, BN|Lábfalva
Leliceni |Sancraieni, HR|Csíkszentlélek
Lemnia |Lemnia, CV|Lemhény
Lemniu |Letca, SJ|Lemény
Lenauheim |Lenauheim, TM|Csatád
Lenis |Raciu, MS|Lenes
Leordeni |Gheorghe Doja, MS|Lőrincfalva
Leordina |Leordina, MM|Leordina
Leorint |Radesti, AB|Lőrincréve
Leorinta |Grebenisu de Campie, MS|Lőrinci
Leorinta-saulia |saulia, MS|Lőrincidűlő
Lepindea |Bahnea, MS|Leppend
Lescovita |Naidas, CS|Néramogyorós
Lespedea, Repedea |Repedea, MM|Laposkő
Lespezea |Scarisoara, AB|
Les |Nojorid, BH|Váradles
Lesmir |Marca, SJ|Lecsmér
Lesnic |Vetel, HD|Lesnyek
Lestioara |Halmagiu, AR|Kisles
Lesu |Lesu, BN|Les
Letca |Letca, SJ|Létka
Let |Borosneu Mare, CV|Lécfalva
Leucusesti |Bethausen, TM|Lőkösfalva
Leurda |Caseiu, CJ|Leurda határrész
Liban |Suseni, HR|Gyergyólibántelep
Liborajdea |Sichevita, CS|Liborásdia
Libotin |Cupseni, MM|Libaton
Liebling |Liebling, TM|Liebling
Lighet, Stanciova |Recas, TM|Liget
Lighitis, Nevrincea |Bethausen, TM|
Lindenfeld |Buchin, CS|Karánberek
Lint, Tritenii-Hotar |Tritenii de Jos, CJ|Linci tanyák
Lipaia |Bistra, AB|
Lipau |Culciu, SM|Szamoslippó
Lipova |Oras Lipova, AR|Lippa
Lisa |Lisa, BV|Lisza
Lisnau |Ozun, CV|Lisznyó
Lisnau Vale |Ozun, CV|Lisznyópatak
Lita |Savadisla, CJ|Oláhléta
Liteni |Savadisla, CJ|Magyarléta
Liubcova |Berzasca, CS|Alsólupkó
Livada |Livada, AR|Fakert
Livada |Iclod, CJ|Dengeleg
Livada |Petrestii de Jos, CJ|Tordaegres
Livada |Tomesti, HD|Sztrimba
Livada |Livada, SM|Sárköz
Livada Beiusului |Draganesti, BH|Belényesliváda
Livada de Bihor |Nojorid, BH|Mácsapuszta
Livada Mica |Livada, SM|
Livada Noua, Livada |Livada, SM|Sárközújlak
Livadia |Baru, HD|Mezőlivádia
Livadia de Coasta, Livadia |Baru, HD|Hegyaljalivádia
Livezeni, Petrosani |Municipiul Petrosani, HD|Livazény
Livezeni |Livezeni, MS|Jedd
Livezi |Mihaileni, HR|Lóvész
Livezi |General Berthelot, HD|Gauricsa
Livezile |Livezile, AB|Úrháza
Livezile |Livezile, BN|Jád
Livezile |Banloc, TM|Tolvád
Liviu Rebreanu |Oras Nasaud, BN|Priszlop
Loamnes |Loamnes, SB|Ladamos
Lobodas |Ploscos, CJ|Labodás
Locodeni |Martinis, HR|Lókod
Lodroman |Valea Lunga, AB|Lodormány
Logig |Lunca, MS|Ludvég
Loman |Sasciori, AB|Lomány
Lompirt |sarmasag, SJ|Szilágylompért
Lopadea Noua |Lopadea Noua, AB|Magyarlapád
Lopadea Veche |Miraslau, AB|Oláhlapád
Lopata, Sita Buzaului |Sita Buzaului, CV|Lapát
Loranta |Brusturi, BH|Loránta
Lorau |Bratca, BH|Remetelórév
Lotrioara |Oras Talmaciu, SB|Latorvár
Lotu |Sangeorgiu de Padure, MS|Lóc
Lovnic |Jibert, BV|Lemnek
Lovrin |Lovrin, TM|Lovrin
Lozna |Lozna, SJ|Nagylózna
Lucacevat |Sichevita, CS|
Lucaret |Brestovat, TM|Lukácskő
Lucaceni |Berveni, SM|Újkálmánd
Lucacesti |Miresu Mare, MM|Szamoslukácsi
Ludestii de Jos |Orastioara de Sus, HD|Ludesd
Ludestii de Sus |Orastioara de Sus, HD|Felsőludesd
Ludisor |Voila, BV|Ludisor
Ludos |Ludos, SB|Nagyludas
Ludus |Oras Ludus, MS|Marosludas
Lueta |Lueta, HR|Lövéte
Lugasu de Jos |Lugasu de Jos, BH|Alsólugos
Lugasu de Sus |Lugasu de Jos, BH|Felsőlugos
Lugoj |Municipiul Lugoj, TM|Lugos
Lugojel |Gavojdia, TM|Lugoshely
Lugoju German, Lugoj |Municipiul Lugoj, TM|Németlugos
Lugoju Romanesc, Lugoj |Municipiul Lugoj, TM|Románlugos
Luguzau |silindia, AR|Lugozó
Luieriu |Suseni, MS|Lövér
Lujerdiu |Cornesti, CJ|Lózsárd
Luminesti |Sohodol, AB|
Luminisu |Ileanda, SJ|Szakadás
Luna |Luna, CJ|Aranyoslóna
Luna |Oras Negresti-Oas, SM|Lunaforrás
Luna de Jos |Dabaca, CJ|Kendilóna
Luna de Sus |Floresti, CJ|Magyarlóna
Lunca |Lupsa, AB|
Lunca |Posaga, AB|Aranyoslonka
Lunca |Valea Lunga, AB|Küküllőlonka
Lunca |Vidra, AB|
Lunca |Lunca, BH|Biharlonka
Lunca |sieut, BN|Friss
Lunca, Santionlunca |Ozun, CV|Laborfalva
Lunca |Baita, HD|Nyavalyásfalva
Lunca |Baia de Cris, HD|Lunka
Lunca, Petrila |Oras Petrila, HD|Lunka rész
Lunca |Lunca, MS|Tekeújfalu
Lunca, Bicazu Ardelean |Bicazu Ardelean, NT|
Lunca Ampoitei |Metes, AB|Lunkarész
Lunca Apei |Apa, SM|Apai Lanka
Lunca Bisericii |Vidra, AB|
Lunca Bicazului, Bicaz-Chei |Bicaz-Chei, NT|
Lunca Bisericii, Bicaz-Chei |Bicaz-Chei, NT|
Lunca Bontului |Fizesu Gherlii, CJ|
Lunca Borlesei |Spermezeu, BN|
Lunca-Brad, Brad |Municipiul Brad, HD|
Lunca Bradului |Lunca Bradului, MS|Palotailva
Lunca Calnicului |Prejmer, BV|Farkasvágó
Lunca Cernii de Jos |Lunca Cernii de Jos, HD|Alsónyiresfalva
Lunca Cernii de Sus |Lunca Cernii de Jos, HD|Felsőnyiresfalva
Lunca de Jos |Vidra, AB|
Lunca de Jos |Lunca de Jos, HR|Gyimesközéplok
Lunca de Sus, Vidra |Vidra, AB|
Lunca de Sus |Lunca de Sus, HR|Gyimesfelsőlok
Lunca Florii |Cornereva, CS|
Lunca-Gamurii, |Bicaz-Chei, NT|
Lunca Goiesti |Vidra, AB|
Lunca Ilvei |Lunca Ilvei, BN|Kertecske
Lunca-Jiu, Petrosani |Municipiul Petrosani, HD|Lunka
Lunca la Tisa |Bocicoiu Mare, MM|Tiszalonka
Lunca Larga |Bistra, AB|
Lunca Larga |Ocolis, AB|Lunkalárga
Lunca Lesului |Lesu, BN|
Lunca Marcusului |Dobarlau, CV|Bélmező
Lunca Merilor |Bistra, AB|
Lunca Metesului |Metes, AB|Lunkatanya
Lunca Muresului |Lunca Muresului, AB|Székelykocsárd
Lunca Muresului |Alunis, MS|Holtmaros
Lunca Ozunului |Ozun, CV|Vesszőstelep
Lunca Potaului, Lunca Apei |Apa, SM|Patóházi Lanka
Lunca Sateasca |Tarlisua, BN|
Lunca Tarnavei |sona, AB|Kistövis
Lunca Teuzului |Beliu, AR|Bélmocsolya
Lunca Vesesti |Vidra, AB|
Lunca Visagului |Poieni, CJ|Viságmező
Lunca Zaicii |Cornereva, CS|
Luncani |Luna, CJ|Aranyosgerend
Luncani |Oras Toplita, HR|Lunkány
Luncani |Bosorod, HD|Lunkány
Luncanii de Jos |Tomesti, TM|Bégalankás
Luncanii de Sus |Tomesti, TM|Felsőbégalankás
Luncasprie |Dobresti, BH|Lankás
Luncavita |Luncavita, CS|Nagylankás
Luncoiu de Jos |Luncoiu de Jos, HD|Alsólunkoj
Luncoiu de Sus |Luncoiu de Jos, HD|Felsőlunkoj
Luncsoara |Halmagel, AR|Hosszúsor
Luncsoara |Auseu, BH|Élesdlok
Luncsoara |Vorta, HD|Lunksora
Lunga |Municipiul Targu Secuiesc, CV|Nyujtód
Lunga |Comlosu Mare, TM|Kunszőllős
Lungesti |Iara, CJ|
Lupac |Lupac, CS|Kiskrassó
Lupaiesti |Poiana Vadului, AB|
Lupeni |Lupeni, HR|Farkaslaka
Lupeni |Oras Lupeni, HD|Lupény
Lupesti |Varadia de Mures, AR|Farkasháza
Lupoaia |Holod, BH|Farkaspatak
Lupoaia |Creaca, SJ|Farkasmező
Lupoane, Secas |Secas, TM|
Lupsa |Lupsa, AB|Nagylupsa
Lupsa |Hoghiz, BV|Lupsa
Lupseni |Galda de Jos, AB|
Lupu |Cergau, AB|Farkastelke
Lupulesti |Bucium, AB|
Lusca |Oras Nasaud, BN|Szamospart
Lutita |Mugeni, HR|Agyagfalva
Lutoasa |Lemnia, CV|Csomortán
Luta |Beclean, BV|Luca
Macau |Aghiresu, CJ|Mákófalva
Macea |Macea, AR|Mácsa
Macedonia |Ciacova, TM|Macedónia
Maciova |Constantin Daicoviciu, CS|Mácsova
Macoviste |Ciuchici, CS|Mákosfalva
Macoviste |Cornea, CS|Makovistye
Mada |Balsa, HD|Máda
Mag |Saliste, SB|Mág
Maia |Bobalna, CJ|Mánya
Maia |Magherani, MS|Mája
Maiad |Galesti, MS|Nyomát
Maieru |Maieru, BN|Major
Mailat |Vinga, AR|Majláthfalva
Mailat, Uricani |Oras Uricani, HD|Majlát
Maioresti |Rusii-Munti, MS|Maroslaka
Mal |Oras Otelu Rosu, CS|Mál
Mal |Sag, SJ|Ballaháza
Maldaoci |Atintis, MS|Madavölgytanya
Malea |Zau de Campie, MS|Boriskadűlő
Maleia, Petrosani |Municipiul Petrosani, HD|Malea
Malin |Nuseni, BN|Almásmálom
Malnas |Malnas, CV|Málnás
Malnas-Bai |Malnas, CV|Málnásfürdő
Manic |Chiochis, BN|Mányik
Manu, Toplita |Toplita, HD|
Mara |Desesti, MM|Krácsfalva
Marca |Marca, SJ|Márkaszék
Marca-Huta |Marca, SJ|Márkaszékihuta
Marga |Marga, CS|Márga
Marghita |Oras Marghita, BH|Margitta
Margina |Margina, TM|Marzsina
Margine |Abram, BH|Széltalló
Marila |Oras Oravita, CS|Marillavölgy
Marin |Crasna, SJ|Máron
Marna Noua |Sanislau, SM|Újmárna
Marpod |Marpod, SB|Márpod
Martinovat |Sichevita, CS|
Martonca |Remetea, HR|Martonka
Martihaz |Madaras, BH|Marciháza
Masca |Iara, CJ|Macskakő
Masloc |Masloc, TM|Máslak
Matei |Matei, BN|Szentmáté
Mateias |Racos, BV|Mátéfalva
Matei |Scarisoara, AB|
Macaresti |Ponor, AB|
Macesti |Oras Moldova Noua, CS|Mátyásmező
Maceu |Bretea Romana, HD|Mácsó
Macicasu |Chinteni, CJ|Magyarmacskás
Macicasesti |saulia, MS|Szteuniadülő
Madaras |Madaras, BH|Madarász
Madaras |Ardud, SM|Nagymadarász
Madaras |Danesti, HR|Csíkmadaras
Madaras |Band, MS|Mezőmadaras
Madaraseni |Iclanzel, MS|Hirtopa
Maderat |Oras Pancota, AR|Magyarád
Madrigesti |Brazii, AR|Madarsák
Maeriste |Maeriste, SJ|Krasznahidvég
Magesti |Magesti, BH|Szászfalva
Magherani |Magherani, MS|Nyárádmagyarós
Magherus |Ozun, CV|Sepsimagyarós
Magherus |Oras Toplita, HR|Magyaros
Magherus |Nades, MS|Küküllőmagyarós
Maghierat |Ohaba, AB|Magyarádtanya
Magina |Municipiul Aiud, AB|Muzsnaháza
Magoaja |Chiuiesti, CJ|Hollómező
Magulicea |Varfurile, AR|Kismaglód
Magura |Bucium, AB|
Magura |Galda de Jos, AB|
Magura |Pietroasa, BH|Biharmagura
Magura |Moieciu, BV|Magura
Magura |Zavoi, CS|Korcsona
Magura, Brad |Municipiul Brad, HD|
Magura |Martinesti, HD|Magura
Magura |Poiana Blenchii, SJ|Kishegy
Magura Ierii |Iara, CJ|Járamagura
Magura Ilvei |Magura Ilvei, BN|Magura
Magura-Toplita |Certeju de Sus, HD|Magura
Magurele |Mariselu, BN|Serling
Magureni |Beriu, HD|Magureny
Magureni |Cernesti, MM|Nagyhegy
Maguri |Maguri-Racatau, CJ|Szamosfő
Maguri |Municipiul Lugoj, TM|Szendelak
Maguri, Maguri |Municipiul Lugoj, TM|Magur
Maguri-Racatau |Maguri-Racatau, CJ|Reketó
Mahal |Sanmartin, CJ|Mohaly
Mahaceni |Unirea, AB|Aranyosmohács
Maierus |Maierus, BV|Szászmagyarós
Maladia |Maeriste, SJ|Maladé
Malaesti |Valea Larga, MS|
Malaiesti |Salasu de Sus, HD|Malajesd
Malancrav |Laslea, SB|Almakerék
Maleni |Ileanda, SJ|Kisilonda
Malinis |Harseni, BV|Malinis 
Malut |Branistea, BN|Omlásalja
Mamaligani |Mogos, AB|Mamaligány községrész
Manarade |Municipiul Blaj, AB|Monora
Manastire |Lupsa, AB|Monostor
Manastirea |Mica, CJ|Szentbenedek
Manastirea |Giulesti, MM|Gyulamonostor
Manastireni |Manastireni, CJ|Magyargyerőmonostor
Manastiur |Manastiur, TM|Bégamonostor
Manastur |Vinga, AR|Monostor
Manastur, Cluj-Napoca |Municipiul Cluj-Napoca, CJ|Kolozsmonostor
Manasturel |Cuzdrioara, CJ|Kismonostorszeg
Manasturu Romanesc |Manastireni, CJ|Felsőgyerőmonostor
Mancesti |Horea, AB|
Manerau |Pestisu Mic, HD|Magyarosd
Marasesti |Band, MS|Marosesd
Maraus |Craiva, AR|Bélnagymaros
Marcesti |Risca, CJ|
Marculeni |Magherani, MS|Márkod
Marcus |Dobarlau, CV|Márkos
Marcusa |Catalina, CV|Kézdimárkosfalva
Margaia |Lupsa, AB|
Margau |Margau, CJ|Meregyó
Margineni |Salistea, AB|
Margineni |Harseni, BV|Marginen
Marinesti |intregalde, AB|
Marisel |Marisel, CJ|Havasnagyfalu
Mariselu |Mariselu, BN|Sajónagyfalu
Marius |Valea Vinului, SM|Mogyorós
Martanus |Bretcu, CV|Kézdimartonos
Martesti |Avram Iancu, AB|
Martineni |Catalina, CV|Kézdimartonfalva
Martinesti |Tureni, CJ|Pusztaszentmárton
Martinesti |Martinesti, HD|Martinesd
Martinesti |Odoreu, SM|Kakszentmárton
Martinie |sugag, AB|Martiniatelep
Martinis |Martinis, HR|Homoródszentmárton
Martinus, Fotos |Ghidfalau, CV|Sepsimartonos
Maru |Zavoi, CS|Almafa
Matacina |Vintu de Jos, AB|
Matiseni, Marcusa |Catalina, CV|Mátisfalva
Matiseni |Mugeni, HR|Mátisfalva
Matisesti |Ciuruleasa, AB|
Matisesti |Horea, AB|
Matrici |Eremitu, MS|Nyárádköszvényes
Maureni |Maureni, CS|Móricföld
Manastire |Gataia, TM|Monostorszentgyörgy
Manau |Ulmeni, MM|Monó
Mandra |Mandra, BV|Mundra
Mandra |Loamnes, SB|Széptelep
Mandruloc |Vladimirescu, AR|Mondorlak
Manerau |Bocsig, AR|Monyoró
Marsa |Oras Avrig, SB|Mirsa
Masca |siria, AR|Muszka
Matnicu Mare |Constantin Daicoviciu, CS|Nagymutnok
Matnicu Mic |Fardea, TM|Kismutnok
Mecea, Abrud-Sat |Oras Abrud, AB|Mecsia
Medias |Municipiul Medias, SB|Medgyes
Medies-Raturi |Mediesu Aurit, SM|Aranyos-
meggyesi rét
Medies-Vii |Mediesu Aurit, SM|Aranyosmeggyesihegy
Mediesu Aurit |Mediesu Aurit, SM|Aranyosmeggyes
Medisa |Viile Satu Mare, SM|Meddes
Medisoru Mare |simonesti, HR|Medesér
Medisoru Mic |Avramesti, HR|Kismedesér
Medresti |Sohodol, AB|
Medved, Inelet |Cornereva, CS|
Medves |Farau, AB|Nagymedvés
Meghis, Talmacel |Oras Talmaciu, SB|
Mehadia |Mehadia, CS|Mehádia
Mehadica |Mehadica, CS|Kismiháld
Mehala, Timisoara |Municipiul Timisoara, TM|Mehala
Melin, Gradini |Valea Larga, MS|
Mera |Baciu, CJ|Méra
Mercheasa |Homorod, BV|Mirkvásár
Mercina |Varadia, CS|Mercsény
Mereni |Lemnia, CV|Kézdialmás
Meresti |Meresti, HR|Homoródalmás
Mereteu |Vintu de Jos, AB|Meritő
Merghindeal |Merghindeal, SB|Morgonda
Meria |Lunca Cernii de Jos, HD|Kékesfalva
Merisor |Sita Buzaului, CV|Almás
Merisor |Banita, HD|Merisor
Merisor |Bucuresci, HD|
Merisor |Tautii-Magheraus, MM|Szamosmonostor
Merisor |Glodeni, MS|Pusztaalmás
Merisoru |Papiu Ilarian, MS|Bugusalja + Felsőforduló
Merisoru de Munte |Cerbal, HD|Merisor
Mermesti |Varfurile, AR|Mermesd
Mermezeu-Valeni |Oras Geoagiu, HD|Nyirmező
Mesentea |Galda de Jos, AB|Kismindszent
Mesesenii de Jos |Mesesenii de Jos, SJ|Magyarkecel
Mesesenii de Sus |Mesesenii de Jos, SJ|Oláhkecel
Mesteacan |Cornereva, CS|
Mesteacan |Municipiul Brad, HD|Mesztákon
Mesteacan |Rachitova, HD|Mesztákon
Mesteacan |Valea Chioarului, MM|Kisnyíres
Mesteacan |Halmeu, SM|Nyírestanya
Mesteacan, Slimnic |Slimnic, SB|
Mesteacanu |Almasu, SJ|Almásnyíres
Mestecanisul, Cozma |Cozma, MS|Barbosza
Mescreac |Radesti, AB|Meggykerék
Mesendorf |Bunesti, BV|Mese
Mestera |Stanceni, MS|Mesterháza
Metes |Metes, AB|Metesd
Metis |Mihaileni, SB|Martonfalva
Meziad |Remetea, BH|Mézged
Mezindin, Bogaltin |Cornereva, CS|
Mica |Mica, CJ|Mikeháza
Mica |Mica, MS|Mikefalva
Micalaca, Arad |Municipiul Arad, AR|Mikelaka
Micanesti |Zam, HD|Mikanesd
Micasasa |Micasasa, SB|Mikeszásza
Micesti |Municipiul Alba Iulia, AB|Ompolykisfalud
Micesti |Tureni, CJ|Mikes
Micesti, Nazna |Sancraiu de Mures, MS|Maroskisfalud
Micestii de Campie |Micestii de Campie, BN|Mezőkecsed
Micfalau |Malnas, CV|Mikóújfalu
Miclosoara |Oras Baraolt, CV|Miklósvár
Micoslaca |Oras Ocna Mures, AB|Miklóslaka
Micudia, Valea Lupsii |Lupsa, AB|
Micula |Micula, SM|Mikola
Micula Noua |Micula, SM|Újmikola
Mierag |Tarcaia, BH|Mérág
Miercurea-Ciuc |Municipiul Miercurea-Ciuc, HR|Csíkszereda
Miercurea Nirajului |Miercurea Nirajului, MS|Nyárádszereda
Miercurea Sibiului |Miercurea Sibiului, SB|Szerdahely
Mierlau |Hidiselu de Sus, BH|Nyárló
Miersig |Husasau de Tinca, BH|Nyárszeg
Mierta |Cuzaplac, SJ|Nyerce
Mighindoala |seica Mare, SB|Ingodály
Mighindoala, |seica Mare, SB|
Mihai Bravu |Diosig, BH|Félegyházi Újtelep
Mihai Viteazu, Alsó- és Felsőszentmihály 
|Mihai Viteazu, CJ|
Mihai Viteazu |Saschiz, MS|Zoltán
Mihalt |Mihalt, AB|Mihálcfalva
Mihaieni |Acas, SM|Krasznamihályfalva
Mihaiesti |Bistra, AB|
Mihaiesti |Sanpaul, CJ|Nádasszentmihály
Mihaiesti |Dobra, HD|Mihalesd
Mihaileni |Mihaileni, HR|Csíkszentmihály
Mihaileni |simonesti, HR|Székelyszentmihály
Mihaileni |Buces, HD|Miheleny
Mihaileni |Mihaileni, SB|Sálfalva
Miheleu |Lazareni, BH|Méhelő
Mihesu de Campie |Mihesu de Campie, MS|Mezőméhes
Mihoesti |Oras Campeni, AB|
Mijlocenii Bargaului |Josenii Bargaului, BN|Középborgó
Milas |Milas, BN|Nagynyulas
Milasel |Craiesti, MS|Kisnyulas
Milcoveni |Berliste, CS|Mirkóc
Milova |Conop, AR|Milova
Miluani |Hida, SJ|Milvány
Mina Capeni, Capeni |Oras Baraolt, CV|Köpecbánya
Minead |Ignesti, AR|Menyéd
Minele Lueta |Oras Vlahita, HR|Szentkeresztbánya
Minereni, Lueta |Lueta, HR|Bányászfalva
Mineu |Salatig, SJ|Menyő
Minis |Ghioroc, AR|Ménes
Minisel |Taut, AR|Alménes
Minisu de Sus |Taut, AR|Felménes
Mintia |Vetel, HD|Marosnémeti
Mintiu |Nimigea, BN|Oláhnémeti
Mintiu Gherlii |Mintiu Gherlii, CJ|Szamosújvárnémeti
Miraslau |Miraslau, AB|Miriszló
Mires |Chiuza, BN|Diófás
Miresu Mare |Miresu Mare, MM|Nagynyíres
Mirigioaia |Hodac, MS|Mirigalja
Mirsid |Mirsid, SJ|Nyirsid
Mischieni, Mortesti |Ceanu Mare, CJ|Mészkőtanya
Misentea |Sancraieni, HR|Csíkmindszent
Misca, Blaj |Municipiul Blaj, AB|
Misca |Misca, AR|Tőzmiske
Misca |Chislaz, BH|Micske
Mititei |Nimigea, BN|Mittye
Mitresti |Vargata, MS|Nyárádszentmárton
Mitrutesti, Valea Holhorii |Lupsa, AB|
Mizies |Draganesti, BH|Mézes
Moacsa |Moacsa, CV|Maksa
Moara de Jos |Taureni, MS|Csontostanya + Keménytanya
Moara de Padure |Baisoara, CJ|
Moara-Ungurului, Izvoarele |Teliucu Inferior, HD|
Moardas |Mihaileni, SB|Mardos
Moceris |Lapusnicu Mare, CS|Mocsáros
Mocira |Recea, MM|Láposhidegkút
Mociu |Mociu, CJ|Mocs
Mocod |Nimigea, BN|Szamosmakód
Mocrea |Oras Ineu, AR|Apatelek
Modolesti |intregalde, AB|
Modolesti |Vidra, AB|
Moftinu Mare |Moftin, SM|Nagymajtény
Moftinu Mic |Moftin, SM|Kismajtény
Moglanesti |Oras Toplita, HR|Moglán
Mogoaia |Mihesu de Campie, MS|
Mogos |Mogos, AB|Mogos
Mogoseni |Nimigea, BN|Szamosmagasmart
Mogosesti |Satulung, MM|Magosfalu
Mohu |selimbar, SB|Móh
Moiad |sarmasag, SJ|Mojád
Moieciu de Jos |Moieciu, BV|Alsómoécs
Moieciu de Sus |Moieciu, BV|Felsőmoécs
Moigrad-Porolissum |Mirsid, SJ|Mojgrád
Moisei |Moisei, MM|Majszin
Moisa |Glodeni, MS|Mezőmajos
Moiseni |Certeze, SM|Mózesfalu
Moldova Noua |Oras Moldova Noua, CS|Újmoldova
Moldova Veche |Oras Moldova Noua, CS|Ómoldova
Moldovenesti |Moldovenesti, CJ|Várfalva
Moldovita |Oras Moldova Noua, CS|Kiskárolyfalva
Moliset |Tarlisua, BN|Molisetitanya
Monariu |Budacu de Jos, BN|Malomárka
Moneasa |Moneasa, AR|Menyháza
Moniom |Municipiul Resita CS|Monyó
Monor |Monor, BN|Monorfalva
Monorostia |Barzava, AR|Marosmonyoró
Moravita |Moravita, TM|Temesmóra
Morareni |Lupeni, HR|Nyikómalomfalva
Morareni |Rusii-Munti, MS|Monosfalu
Moraresti, Hapria |Ciugud, AB|Csongvaihegy
Moraresti |Ciuruleasa, AB|
Moraresti |Sohodol, AB|
Morau |Cornesti, CJ|Móró
Morcanesti |Poiana Vadului, AB|
Moresti |Ungheni, MS|Malomfalva
Moristi |Cojocna, CJ|Hurubák
Morlaca |Poieni, CJ|Marótlaka
Moroda |Seleus, AR|Marót
Mortesti |Ceanu Mare, CJ|
Morut |Matei, BN|Aranyosmóric
Morut |Sarmasu, MS|Marocháza
Mosoru |Toplita, HD|Moszor
Mosici, Cimpa |Oras Petrila, HD|
Mosna |Mosna, SB|Muzsna
Mosnita Noua |Mosnita Noua, TM|Újmosnica
Mosnita Veche |Mosnita Noua, TM|Mosnica
Mosuni |Miercurea Nirajului, MS|Székelymoson
Motis |Oras Cehu Silvaniei, SJ|Mutos
Motis |Valea Viilor, SB|Martontelke
Motorasti |Oras Campeni, AB|
Motesti |Pietroasa, BH|Mocsest
Motiori |Apateu, AR|
Movile |Iacobeni, SB|Százhalom
Mugeni |Mugeni, HR|Bögöz
Mugesti |Oras Cugir, AB|Mugestihavas
Mujna |Darjiu, HR|Székelymuzsna
Munar |Secusigiu, AR|Munár
Muncel |Catcau, CJ|Kishavas
Muncel |Cristolt, SJ|Hegyköz
Muncelu |Oras Baia de Aries, AB|Muncsal
Muncelu Mare |Vetel, HD|Nagymuncsel
Muncelu Mic |Vetel, HD|Kismuncsel
Munesti |Sohodol, AB|
Muntari |Bucium, AB|Bucsum-Muntár
Muntele Agrisului, Muntele Sacelului |Baisoara, CJ|Ruhaegres havasa
Muntele Baisorii |Baisoara, CJ|Bányahavas
Muntele Bocului |Baisoara, CJ|Bikalathavas
Muntele Cacovei |Baisoara, CJ|Havastelep
Muntele Filii |Baisoara, CJ|Felsőfülehavas
Muntele Mic, Borlova |Turnu Ruieni, CS|
Muntele Rece |Maguri-Racatau, CJ|Hideghavas
Muntele Sacelului |Baisoara, CJ|Asszonyfalvahavas
Munteni |Bulz, BH|
Mununa |Garda de Sus, AB|
Mura Mare |Gornesti, MS|Nagyszederjes
Mura Mica |Gornesti, MS|Kisszederjes
Murani |Pischia, TM|Temesmurány
Mureni |Vanatori, MS|Szederjes
Mures-Sat, Suseni |Suseni, HR|Marosfalva
Muresel, Arad |Municipiul Arad, AR|Zsigmondháza
Mureseni |Municipiul Targu Mures, MS|Meggyesfalva
Muresenii Bargaului |Tiha Bargaului, BN|Marosborgó
Muresenii de Campie |Palatca, CJ|Omboztelke
Murgesti |Acatari, MS|Nyárádszentbenedek
Mustesti |Gurahont, AR|Mosztafalva
Musa, Comandau |Comandau, CV|Musatelep
Musca |Lupsa, AB|Muska
Musuroaie, Recea |Recea, BV|
Nadas |Taut, AR|Zarándnádas
Nadas |Recas, TM|Mélynádas
Nadasa |Beica de Jos, MS|Görgénynádas
Nadasu |Izvoru Crisului, CJ|Kalotanádas
Nades |Nades, MS|Szásznádas
Nadis |Oras Cehu Silvaniei, SJ|Szilágynádasd
Nadisu Hododului |Hodod, SM|Hadadnádasd
Naghirez, Tulghes |Tulghes, HR|Nagyrez
Naidas |Naidas, CS|Néranádas
Naimon |Dobrin, SJ|Nagymon
Nandra |Bichis, MS|Lándor
Nandru |Pestisu Mic, HD|Nándor
Nazna |Sancraiu de Mures, MS|Náznánfalva
Nadab |Oras Chisineu-Cris, AR|Nadab
Nadar |Spinus, BH|Nadántelek
Nadalbesti |Ignesti, AR|Nádalmás
Nadaselu |Garbau, CJ|Magyarnádas
Nadastia |Almasu Mare, AB|Nádasdia
Nadastia de Jos |Oras Calan, HD|Alsónádasd
Nadastia de Sus |Oras Calan, HD|Felsőnádasd
Nadejdea |Mihaileni, HR|Ajnád
Nadlac |Oras Nadlac, AR|Nagylak
Nadrag |Nadrag, TM|Nadrág
Nalatvad |Oras Hateg, HD|Nalácvád
Namas |Bistra, AB|
Nanesti |Barsana, MM|Nánfalva
Naoiu |Camarasu, CJ|Novoly
Napaiesti |Sohodol, AB|
Napradea |Napradea, SJ|Náprád
Nasal |taga, CJ|Noszoly
Nasaud |Oras Nasaud, BN|Naszód
Naslaoaia, Boian |Ceanu Mare, CJ|
Neagra |Dezna, AR|Kisfeketefalu
Neagra |Lunca Bradului, MS|Nyágra
Nearsova |Izvoru Crisului, CJ|Nyárszó
Neaua |Neaua, MS|Havad
Necopoi |Homoroade, SM|Ivácskó
Necrilesti |intregalde, AB|Nekrilesti
Necsesti |Vadu Motilor, AB|
Negesti |Scarisoara, AB|
Negiudin |Cornereva, CS|
Negoiu |Lunca Cernii de Jos, HD|Nyegojlunka
Negreia |sisesti, MM|Nyegrefalva
Negreni |Ciucea, CJ|Körösfeketetó
Negreni |Ileanda, SJ|Konkolyfalva
Negrenii de Campie |Band, MS|Feketelak
Negresti |Mogos, AB|
