falu|megye|hun
Boianu Mare |Boianu Mare, BH|Tasnádbajom
Boiereni |Oras Targu Lapus, MM|Boérfalva
Boina |Dalboset, CS|Bojna
Boinesti |Bixad, SM|Bujánháza
Boinita |Dalboset, CS|Bojnica
Boita |Rachitova, HD|Boica
Boita |Oras Talmaciu, SB|Bojca
Boiu |Ciumeghiu, BH|Mezőbaj
Boiu |Rapoltu Mare, HD|Boj
Boiu |Albesti, MS|Bún
Boiu de Jos |Gurasada, HD|Alsóboj
Boiu de Sus |Gurasada, HD|Felsőboj
Boiu Mare |Boiu Mare, MM|Nagybúny
Boj-Catun |Cojocna, CJ|Bósi alagút
