
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 124321
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 123308
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 121248
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 119239
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 118421
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 117620
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 116899
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 116052
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 113960
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 110778
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 108391
0- 4 ani, Masculin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 104853
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 113240
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 104294
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 95138
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 86716
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 81893
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 79381
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 78100
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 77559
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 77265
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 77588
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 77587
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 76492
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 76125
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 75213
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 74583
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 74792
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 75654
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 76136
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 76537
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 75782
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 73702
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 71756
0- 4 ani, Masculin, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 68671
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 127333
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 118519
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 109486
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 101017
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 96793
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 94123
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 92180
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 90649
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 89569
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 89607
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 88608
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 86970
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 85723
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 84741
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 83800
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 83658
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 83887
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 84128
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 84404
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 83668
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 81858
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 80113
0- 4 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 76777
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 88655
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 83645
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 78512
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 73562
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 69897
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 67304
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 65549
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 64483
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 63586
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 63278
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 62251
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 60720
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 59117
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 57420
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 56121
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 55140
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 54223
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 53637
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 53207
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 52366
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 51164
0- 4 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 50273
