
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 22554
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 23091
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 22458
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 19854
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 17855
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 16811
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 15628
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 15540
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 14594
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 14661
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 14651
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 14992
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 14538
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 14969
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 14198
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 14026
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 14472
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 14018
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 14912
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 14494
6 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 14271
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 20252
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 21309
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 21264
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 20989
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 20546
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 17793
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 15376
6 ani, Feminin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 14604
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 13421
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 13299
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 12714
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 12685
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 13163
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 13390
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 13257
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 13595
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 13041
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 12821
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 13197
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 13270
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 13996
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 13770
6 ani, Feminin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 13627
6 ani, Feminin, Total, Regiunea VEST, Anul 1992, Numar persoane, 15007
6 ani, Feminin, Total, Regiunea VEST, Anul 1993, Numar persoane, 15662
6 ani, Feminin, Total, Regiunea VEST, Anul 1994, Numar persoane, 15927
6 ani, Feminin, Total, Regiunea VEST, Anul 1995, Numar persoane, 15803
6 ani, Feminin, Total, Regiunea VEST, Anul 1996, Numar persoane, 15493
6 ani, Feminin, Total, Regiunea VEST, Anul 1997, Numar persoane, 13317
6 ani, Feminin, Total, Regiunea VEST, Anul 1998, Numar persoane, 12231
6 ani, Feminin, Total, Regiunea VEST, Anul 1999, Numar persoane, 11281
6 ani, Feminin, Total, Regiunea VEST, Anul 2000, Numar persoane, 10556
6 ani, Feminin, Total, Regiunea VEST, Anul 2001, Numar persoane, 10283
6 ani, Feminin, Total, Regiunea VEST, Anul 2002, Numar persoane, 9668
6 ani, Feminin, Total, Regiunea VEST, Anul 2003, Numar persoane, 9372
6 ani, Feminin, Total, Regiunea VEST, Anul 2004, Numar persoane, 9760
6 ani, Feminin, Total, Regiunea VEST, Anul 2005, Numar persoane, 9628
6 ani, Feminin, Total, Regiunea VEST, Anul 2006, Numar persoane, 9554
6 ani, Feminin, Total, Regiunea VEST, Anul 2007, Numar persoane, 9555
6 ani, Feminin, Total, Regiunea VEST, Anul 2008, Numar persoane, 8850
6 ani, Feminin, Total, Regiunea VEST, Anul 2009, Numar persoane, 9039
6 ani, Feminin, Total, Regiunea VEST, Anul 2010, Numar persoane, 9126
6 ani, Feminin, Total, Regiunea VEST, Anul 2011, Numar persoane, 9278
6 ani, Feminin, Total, Regiunea VEST, Anul 2012, Numar persoane, 9456
6 ani, Feminin, Total, Regiunea VEST, Anul 2013, Numar persoane, 9330
6 ani, Feminin, Total, Regiunea VEST, Anul 2014, Numar persoane, 9145
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 22459
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 22829
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 23427
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 23490
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 23896
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 23213
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 20679
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 18655
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 17753
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 16390
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 16405
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 15467
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 15240
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 15308
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 15299
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 15230
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 15609
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 14886
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 14727
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 15108
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 14912
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 15709
7 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 15085
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 20853
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 21065
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 22069
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 22084
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 21778
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 21679
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 18281
7 ani, Masculin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 16344
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 15517
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 14081
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 14155
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 13396
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 13331
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 14062
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 13937
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 13996
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 14438
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 13635
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 13595
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 13943
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 14190
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 14585
7 ani, Masculin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 14382
7 ani, Masculin, Total, Regiunea VEST, Anul 1992, Numar persoane, 15097
7 ani, Masculin, Total, Regiunea VEST, Anul 1993, Numar persoane, 15841
7 ani, Masculin, Total, Regiunea VEST, Anul 1994, Numar persoane, 16323
7 ani, Masculin, Total, Regiunea VEST, Anul 1995, Numar persoane, 16736
7 ani, Masculin, Total, Regiunea VEST, Anul 1996, Numar persoane, 16476
7 ani, Masculin, Total, Regiunea VEST, Anul 1997, Numar persoane, 15843
7 ani, Masculin, Total, Regiunea VEST, Anul 1998, Numar persoane, 14000
7 ani, Masculin, Total, Regiunea VEST, Anul 1999, Numar persoane, 12523
7 ani, Masculin, Total, Regiunea VEST, Anul 2000, Numar persoane, 11696
7 ani, Masculin, Total, Regiunea VEST, Anul 2001, Numar persoane, 11206
7 ani, Masculin, Total, Regiunea VEST, Anul 2002, Numar persoane, 10807
7 ani, Masculin, Total, Regiunea VEST, Anul 2003, Numar persoane, 10135
7 ani, Masculin, Total, Regiunea VEST, Anul 2004, Numar persoane, 9945
7 ani, Masculin, Total, Regiunea VEST, Anul 2005, Numar persoane, 10168
7 ani, Masculin, Total, Regiunea VEST, Anul 2006, Numar persoane, 10240
7 ani, Masculin, Total, Regiunea VEST, Anul 2007, Numar persoane, 9966
7 ani, Masculin, Total, Regiunea VEST, Anul 2008, Numar persoane, 10261
7 ani, Masculin, Total, Regiunea VEST, Anul 2009, Numar persoane, 9608
7 ani, Masculin, Total, Regiunea VEST, Anul 2010, Numar persoane, 9501
7 ani, Masculin, Total, Regiunea VEST, Anul 2011, Numar persoane, 9629
7 ani, Masculin, Total, Regiunea VEST, Anul 2012, Numar persoane, 9807
7 ani, Masculin, Total, Regiunea VEST, Anul 2013, Numar persoane, 9941
7 ani, Masculin, Total, Regiunea VEST, Anul 2014, Numar persoane, 9845
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 21185
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 21828
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 22566
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 22495
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 23025
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 22422
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 19815
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 17828
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 16764
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 15603
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 15513
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 14573
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 14638
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 14638
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 14980
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 14531
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 14956
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 14207
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 14025
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 14468
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 14010
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 14909
7 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 14476
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 19937
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 20226
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 21285
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 21225
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 20934
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 20498
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 17751
7 ani, Feminin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 15350
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 14574
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 13402
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 13306
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 12710
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 12681
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 13161
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 13382
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 13246
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 13592
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 13021
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 12826
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 13181
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 13274
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 13986
7 ani, Feminin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 13766
7 ani, Feminin, Total, Regiunea VEST, Anul 1992, Numar persoane, 14465
7 ani, Feminin, Total, Regiunea VEST, Anul 1993, Numar persoane, 15058
7 ani, Feminin, Total, Regiunea VEST, Anul 1994, Numar persoane, 15653
7 ani, Feminin, Total, Regiunea VEST, Anul 1995, Numar persoane, 15903
7 ani, Feminin, Total, Regiunea VEST, Anul 1996, Numar persoane, 15757
7 ani, Feminin, Total, Regiunea VEST, Anul 1997, Numar persoane, 15451
7 ani, Feminin, Total, Regiunea VEST, Anul 1998, Numar persoane, 13243
7 ani, Feminin, Total, Regiunea VEST, Anul 1999, Numar persoane, 12182
7 ani, Feminin, Total, Regiunea VEST, Anul 2000, Numar persoane, 11281
7 ani, Feminin, Total, Regiunea VEST, Anul 2001, Numar persoane, 10544
7 ani, Feminin, Total, Regiunea VEST, Anul 2002, Numar persoane, 10297
7 ani, Feminin, Total, Regiunea VEST, Anul 2003, Numar persoane, 9682
7 ani, Feminin, Total, Regiunea VEST, Anul 2004, Numar persoane, 9370
7 ani, Feminin, Total, Regiunea VEST, Anul 2005, Numar persoane, 9757
7 ani, Feminin, Total, Regiunea VEST, Anul 2006, Numar persoane, 9630
7 ani, Feminin, Total, Regiunea VEST, Anul 2007, Numar persoane, 9551
7 ani, Feminin, Total, Regiunea VEST, Anul 2008, Numar persoane, 9568
7 ani, Feminin, Total, Regiunea VEST, Anul 2009, Numar persoane, 8855
7 ani, Feminin, Total, Regiunea VEST, Anul 2010, Numar persoane, 9032
7 ani, Feminin, Total, Regiunea VEST, Anul 2011, Numar persoane, 9152
7 ani, Feminin, Total, Regiunea VEST, Anul 2012, Numar persoane, 9281
7 ani, Feminin, Total, Regiunea VEST, Anul 2013, Numar persoane, 9456
7 ani, Feminin, Total, Regiunea VEST, Anul 2014, Numar persoane, 9327
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 21234
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 22360
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 22794
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 23367
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 23428
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 23841
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 23168
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 20637
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 18615
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 17721
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 16362
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 16386
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 15441
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 15230
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 15297
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 15298
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 15218
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 15589
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 14877
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 14715
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 15114
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 14903
8 ani, Masculin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 15703
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 19954
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 20807
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 21006
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 22010
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 22008
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 21706
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 21590
8 ani, Masculin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 18253
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 16293
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 15489
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 14072
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 14155
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 13392
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 13320
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 14061
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 13938
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 13979
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 14433
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 13621
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 13590
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 13926
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 14178
8 ani, Masculin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 14569
8 ani, Masculin, Total, Regiunea VEST, Anul 1992, Numar persoane, 13460
8 ani, Masculin, Total, Regiunea VEST, Anul 1993, Numar persoane, 15146
8 ani, Masculin, Total, Regiunea VEST, Anul 1994, Numar persoane, 15838
8 ani, Masculin, Total, Regiunea VEST, Anul 1995, Numar persoane, 16303
8 ani, Masculin, Total, Regiunea VEST, Anul 1996, Numar persoane, 16690
8 ani, Masculin, Total, Regiunea VEST, Anul 1997, Numar persoane, 16438
8 ani, Masculin, Total, Regiunea VEST, Anul 1998, Numar persoane, 15726
8 ani, Masculin, Total, Regiunea VEST, Anul 1999, Numar persoane, 13929
8 ani, Masculin, Total, Regiunea VEST, Anul 2000, Numar persoane, 12517
8 ani, Masculin, Total, Regiunea VEST, Anul 2001, Numar persoane, 11695
8 ani, Masculin, Total, Regiunea VEST, Anul 2002, Numar persoane, 11200
8 ani, Masculin, Total, Regiunea VEST, Anul 2003, Numar persoane, 10797
8 ani, Masculin, Total, Regiunea VEST, Anul 2004, Numar persoane, 10153
8 ani, Masculin, Total, Regiunea VEST, Anul 2005, Numar persoane, 9931
8 ani, Masculin, Total, Regiunea VEST, Anul 2006, Numar persoane, 10168
8 ani, Masculin, Total, Regiunea VEST, Anul 2007, Numar persoane, 10227
8 ani, Masculin, Total, Regiunea VEST, Anul 2008, Numar persoane, 9991
8 ani, Masculin, Total, Regiunea VEST, Anul 2009, Numar persoane, 10274
8 ani, Masculin, Total, Regiunea VEST, Anul 2010, Numar persoane, 9601
8 ani, Masculin, Total, Regiunea VEST, Anul 2011, Numar persoane, 9497
8 ani, Masculin, Total, Regiunea VEST, Anul 2012, Numar persoane, 9619
8 ani, Masculin, Total, Regiunea VEST, Anul 2013, Numar persoane, 9789
8 ani, Masculin, Total, Regiunea VEST, Anul 2014, Numar persoane, 9943
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 20378
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 21099
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 21805
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 22523
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 22452
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 22980
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 22395
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 19804
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 17817
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 16716
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 15586
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 15504
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 14543
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 14606
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 14632
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 14970
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 14520
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 14945
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 14202
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 14017
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 14455
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 13997
8 ani, Feminin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 14903
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 18885
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 19901
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 20181
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 21257
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 21175
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 20881
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 20417
8 ani, Feminin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 17705
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 15318
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 14565
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 13399
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 13299
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 12709
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 12666
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 13163
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 13367
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 13250
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 13580
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 13016
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 12827
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 13163
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 13274
8 ani, Feminin, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 13984
8 ani, Feminin, Total, Regiunea VEST, Anul 1992, Numar persoane, 13037
8 ani, Feminin, Total, Regiunea VEST, Anul 1993, Numar persoane, 14510
8 ani, Feminin, Total, Regiunea VEST, Anul 1994, Numar persoane, 15035
8 ani, Feminin, Total, Regiunea VEST, Anul 1995, Numar persoane, 15658
8 ani, Feminin, Total, Regiunea VEST, Anul 1996, Numar persoane, 15848
8 ani, Feminin, Total, Regiunea VEST, Anul 1997, Numar persoane, 15721
8 ani, Feminin, Total, Regiunea VEST, Anul 1998, Numar persoane, 15334
8 ani, Feminin, Total, Regiunea VEST, Anul 1999, Numar persoane, 13187
8 ani, Feminin, Total, Regiunea VEST, Anul 2000, Numar persoane, 12173
8 ani, Feminin, Total, Regiunea VEST, Anul 2001, Numar persoane, 11289
8 ani, Feminin, Total, Regiunea VEST, Anul 2002, Numar persoane, 10539
