
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0 ani, Masculin, Total, Covasna, Anul 2006, Numar persoane, 1392
0 ani, Masculin, Total, Covasna, Anul 2007, Numar persoane, 1416
0 ani, Masculin, Total, Covasna, Anul 2008, Numar persoane, 1256
0 ani, Masculin, Total, Covasna, Anul 2009, Numar persoane, 1317
0 ani, Masculin, Total, Covasna, Anul 2010, Numar persoane, 1335
0 ani, Masculin, Total, Covasna, Anul 2011, Numar persoane, 1307
0 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1188
0 ani, Masculin, Total, Harghita, Anul 1999, Numar persoane, 1946
0 ani, Masculin, Total, Harghita, Anul 2000, Numar persoane, 1924
0 ani, Masculin, Total, Harghita, Anul 2001, Numar persoane, 1969
0 ani, Masculin, Total, Harghita, Anul 2002, Numar persoane, 1840
0 ani, Masculin, Total, Harghita, Anul 2003, Numar persoane, 1836
0 ani, Masculin, Total, Harghita, Anul 2004, Numar persoane, 1846
0 ani, Masculin, Total, Harghita, Anul 2005, Numar persoane, 1868
0 ani, Masculin, Total, Harghita, Anul 2006, Numar persoane, 1912
0 ani, Masculin, Total, Harghita, Anul 2007, Numar persoane, 1961
0 ani, Masculin, Total, Harghita, Anul 2008, Numar persoane, 1899
0 ani, Masculin, Total, Harghita, Anul 2009, Numar persoane, 1877
0 ani, Masculin, Total, Harghita, Anul 2010, Numar persoane, 1913
0 ani, Masculin, Total, Harghita, Anul 2011, Numar persoane, 1796
0 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1674
0 ani, Masculin, Total, Mures, Anul 1999, Numar persoane, 3350
0 ani, Masculin, Total, Mures, Anul 2000, Numar persoane, 3399
0 ani, Masculin, Total, Mures, Anul 2001, Numar persoane, 3579
0 ani, Masculin, Total, Mures, Anul 2002, Numar persoane, 3302
0 ani, Masculin, Total, Mures, Anul 2003, Numar persoane, 3321
0 ani, Masculin, Total, Mures, Anul 2004, Numar persoane, 3348
0 ani, Masculin, Total, Mures, Anul 2005, Numar persoane, 3395
0 ani, Masculin, Total, Mures, Anul 2006, Numar persoane, 3516
