;0;Helyezés;Helyezés;Cégnév;Alkalmazottak száma 2018;Alkalmazottak száma 2017;Alkalmazottak száma 2016;region;nr;coords;kws;cms
198;49;47;FARAGO SRL;67;75;71;71;udvarhelyszek;49;['46.3910310', ' 25.3679290'];"['ajto-ablakgyartas', 'fahazak', 'hetvegi-es-kerti-haz', 'kerti-hazak', '', '""']";537360, Zetelaka, Iskola u., 1107\t
199;50;>50;COLOR METAL SRL;65;57;55;48;udvarhelyszek;50;['46.314428', ' 25.299904'];"['aluminium-felgyartmanyok', 'inox-lemezek', 'muanyag-lemezek', 'polikarbonat-lemezek', 'rez-es-sargarez', '', 'Gleich', 'KME', 'Wieland""']";"535600, Sz\xe9kelyudvarhely, B&#259;lcescu, Nicolae u., 69B/5\t"
200;1;1;DELGAZ GRID SA;4 219;3 946;3 737;1 866;marosszek;1;['46.5337020', ' 24.5690430'];"['gazszolgaltatas', '', '""']";540554, Marosv\xe1s\xe1rhely, Pandurok sug\xe1r\xfat, 42\t
201;2;2;AZOMURES SA;1 181;1 252;1 308;1 413;marosszek;2;['46.526409', ' 24.540352'];"['mutragya', '', '""']";540342, Marosv\xe1s\xe1rhely, D\xf3zsa Gy\xf6rgy u., 300\t
202;3;3;HIRSCHMANN ROMANIA SRL;1 086;942;766;819;marosszek;3;['46.4742550', ' 24.3792470'];"['autoalkatresz-gyartas', '', '""']";547551, Kerel\xf5, , 1/A\t
203;4;6;ARTEMOB INTERNATIONAL SRL;960;579;511;508;marosszek;4;['46.5756230', ' 25.0750100'];"['b\\xfatorasztalosok', 'b\\xfatorforgalmazas', 'b\\xfatorgyartas', '', '""']";545500, Szov\xe1ta, Parajdi u., 137\t
204;5;4;COMPANIA AQUASERV SA;720;756;761;799;marosszek;5;['46.554065', ' 24.563574'];"['vizszolgaltatas', '', '""']";540297, Marosv\xe1s\xe1rhely, K\xf3s K\xe1roly u., 1\t
205;6;5;SERVICII ENERGETICE PENTRU ACASA SEA COMPLET SA;601;618;510;499;marosszek;6;['46.5456850', ' 24.5580510'];"['gazkazanok-ellenorzese', '', '""']";540049, Marosv\xe1s\xe1rhely, Aurel Filimon u., 19/A\t
206;7;8;JUSTICE SECURITY SERVICES SRL;599;512;274;0;marosszek;7;['46.550875', ' 24.570089'];"['orzo-vedo-szolgaltatasok', '', '""']";540091, Marosv\xe1s\xe1rhely, Bazsar\xf3zsa u.,  2A\t
207;8;7;GEDEON RICHTER ROMANIA SA;560;551;538;535;marosszek;8;['46.544884', ' 24.555227'];"['gyogyszeripari-termekek', '', '""']";540306, Marosv\xe1s\xe1rhely, Cuza Voda u.,  99-105\t
