X,Y,NAME,SIRUTA,OLD_POSTAL,RANG,TIP,SIRUTA_SUP,NAME_SUP,COUNTY,COUNTY_ID,COUNTY_MN,POP2002,REGION,REGION_ID,ENVIRO_TYP,SORT_CODE
24.076636708066783,46.383003624444321,Nandra,115806,4365,V,23,115771,Bichis,Mures,26,MS,146,Centru,7,rural,2850253707871
24.120321560647444,46.357269394594745,Ozd,115815,4365,V,23,115771,Bichis,Mures,26,MS,433,Centru,7,rural,2850253708415
24.119617149801979,46.456408153626988,Bogata,115833,4356,IV,22,115824,Bogata,Mures,26,MS,1567,Centru,7,rural,2850290301242
24.131495409124732,46.484924054761592,Ranta,115842,4357,V,23,115824,Bogata,Mures,26,MS,295,Centru,7,rural,2850290709709
24.639036631778179,46.763634202045445,Breaza,115860,4258,IV,22,115851,Breaza,Mures,26,MS,1148,Centru,7,rural,2850379301627
24.589539810929654,46.75385030229041,Filpisu Mare,115879,4259,V,23,115851,Breaza,Mures,26,MS,857,Centru,7,rural,2850379704748
24.600439406815298,46.78304883535835,Filpisu Mic,115888,4258,V,23,115851,Breaza,Mures,26,MS,479,Centru,7,rural,2850379704749
24.759910515004098,46.855936313432757,Brancovenesti,115904,4239,IV,22,115897,Brancovenesti,Mures,26,MS,1735,Centru,7,rural,2850375301617
24.820178204811864,46.855146378429176,Idicel,115913,4243,V,23,115897,Brancovenesti,Mures,26,MS,505,Centru,7,rural,2850375706069
24.859105414811879,46.854597729732831,Idicel-Padure,115922,4244,V,23,115897,Brancovenesti,Mures,26,MS,703,Centru,7,rural,2850375706070
24.713617046651535,46.885025799671432,Sacalu de Padure,115931,4247,V,23,115897,Brancovenesti,Mures,26,MS,492,Centru,7,rural,2850375710385
24.797925969973203,46.892743774134061,Valenii de Mures,115940,4236,V,23,115897,Brancovenesti,Mures,26,MS,1341,Centru,7,rural,2850375713149
24.513870708284024,46.642931529396556,Ceuasu de Campie,115968,4320,IV,22,115959,Ceuasu de Campie,Mures,26,MS,1423,Centru,7,rural,2850574302560
24.462260176948853,46.687356911933229,Bozed,115977,4321,V,23,115959,Ceuasu de Campie,Mures,26,MS,261,Centru,7,rural,2850574701479
24.487337853079797,46.651211124865611,Campenita,115986,4320,V,23,115959,Ceuasu de Campie,Mures,26,MS,820,Centru,7,rural,2850574702340
24.43258037033252,46.639608008278891,Culpiu,115995,4321,V,23,115959,Ceuasu de Campie,Mures,26,MS,410,Centru,7,rural,2850574703700
24.478188254408458,46.63106023348778,Herghelia,116000,4320,V,23,115959,Ceuasu de Campie,Mures,26,MS,322,Centru,7,rural,2850574705802
24.546803921333165,46.636839641748487,Porumbeni,116019,4320,V,23,115959,Ceuasu de Campie,Mures,26,MS,454,Centru,7,rural,2850574709405
24.446318738477284,46.664499445303058,Sabed,116028,4321,V,23,115959,Ceuasu de Campie,Mures,26,MS,712,Centru,7,rural,2850574710381
24.524968325652257,46.613717490788979,Voiniceni,116037,4319,V,23,115959,Ceuasu de Campie,Mures,26,MS,924,Centru,7,rural,2850574713536
24.02787998495986,46.464351384375782,Chetani,116055,4366,IV,22,116046,Chetani,Mures,26,MS,1309,Centru,7,rural,2850578302609
23.982636249053058,46.495498506981995,Coasta Grindului,116064,4368,V,23,116046,Chetani,Mures,26,MS,25,Centru,7,rural,2850578702992
24.023043855462213,46.512847018172749,Cordos,116073,4368,V,23,116046,Chetani,Mures,26,MS,57,Centru,7,rural,2850578703228
23.969578986242553,46.517058941207083,Giurgis,116082,4368,V,23,116046,Chetani,Mures,26,MS,22,Centru,7,rural,2850578705309
23.997929407011391,46.500671994440701,Grindeni,116091,4368,V,23,116046,Chetani,Mures,26,MS,570,Centru,7,rural,2850578705519
23.983738529066763,46.466983593285072,Hadareni,116108,4367,V,23,116046,Chetani,Mures,26,MS,870,Centru,7,rural,2850578705719
24.000536293947036,46.532044534687302,Lint,116117,4368,V,23,116046,Chetani,Mures,26,MS,4,Centru,7,rural,2850578706650
24.881542789419981,46.687409652208984,Chiheru de Jos,116135,4278,IV,22,116126,Chiheru de Jos,Mures,26,MS,564,Centru,7,rural,2850584302628
24.903597542691529,46.681347970460301,Chiheru de Sus,116144,4278,V,23,116126,Chiheru de Jos,Mures,26,MS,399,Centru,7,rural,2850584702629
24.896089507139667,46.710852949491688,Urisiu de Jos,116153,4276,V,23,116126,Chiheru de Jos,Mures,26,MS,413,Centru,7,rural,2850584712559
24.911087178556571,46.706222863240534,Urisiu de Sus,116162,4276,V,23,116126,Chiheru de Jos,Mures,26,MS,599,Centru,7,rural,2850584712560
24.602019176153316,46.407471881136971,Coroisanmartin,116180,3261,IV,22,116171,Coroisanmartin,Mures,26,MS,441,Centru,7,rural,2850721303305
24.633891149448612,46.409098677967997,Coroi,116199,3262,V,23,116171,Coroisanmartin,Mures,26,MS,175,Centru,7,rural,2850721703298
24.567713522109337,46.404585339266674,Odrihei,116206,3266,V,23,116171,Coroisanmartin,Mures,26,MS,514,Centru,7,rural,2850721708203
24.587032028760483,46.39387668943457,Soimus,116215,3263,V,23,116171,Coroisanmartin,Mures,26,MS,487,Centru,7,rural,2850721711648
24.522531911780089,46.80707179441584,Cozma,116233,4262,IV,22,116224,Cozma,Mures,26,MS,476,Centru,7,rural,2850757303478
24.488031651256367,46.792986932692905,Fanatele Socolului,116242,4263,V,23,116224,Cozma,Mures,26,MS,40,Centru,7,rural,2850757704620
24.515752742857714,46.791415309533285,Socolu de Campie,116251,4263,V,23,116224,Cozma,Mures,26,MS,214,Centru,7,rural,2850757711097
24.484540037016053,46.822716176759606,Valea Sasului,116260,4263,V,23,116224,Cozma,Mures,26,MS,19,Centru,7,rural,2850757712956
24.48055452689054,46.804991777118296,Valea Ungurului,116279,4263,V,23,116224,Cozma,Mures,26,MS,10,Centru,7,rural,2850757713014
24.575241497086161,46.477299935266963,Craciunesti,116297,4332,IV,22,116288,Craciunesti,Mures,26,MS,2464,Centru,7,rural,2850767303514
24.584807329424105,46.509205696126223,Budiu Mic,116304,4310,V,23,116288,Craciunesti,Mures,26,MS,439,Centru,7,rural,2850767701814
24.551038281090957,46.460219583388351,Cinta,116313,4314,V,23,116288,Craciunesti,Mures,26,MS,386,Centru,7,rural,2850767702756
24.586742049982885,46.456601466967783,Cornesti,116322,4332,V,23,116288,Craciunesti,Mures,26,MS,974,Centru,7,rural,2850767703260
24.547894327910623,46.45462845355366,Tirimioara,116331,4314,V,23,116288,Craciunesti,Mures,26,MS,167,Centru,7,rural,2850767712064
24.424986338950021,46.757707867690144,Craiesti,116359,4264,IV,22,116340,Craiesti,Mures,26,MS,774,Centru,7,rural,2850768303520
24.470418482336402,46.747929676650749,Lefaia,116368,4263,V,23,116340,Craiesti,Mures,26,MS,107,Centru,7,rural,2850768706551
24.452499300917175,46.742699356896289,Milasel,116377,4263,V,23,116340,Craiesti,Mures,26,MS,256,Centru,7,rural,2850768707505
24.443627865264631,46.728386909345041,Nima Milaselului,116386,4263,V,23,116340,Craiesti,Mures,26,MS,14,Centru,7,rural,2850768708053
24.26605841496875,46.402476491399987,Cucerdea,116402,4354,IV,22,116395,Cucerdea,Mures,26,MS,1079,Centru,7,rural,2850800303652
24.226939580609756,46.393689182092437,Bord,116411,4354,V,23,116395,Cucerdea,Mures,26,MS,218,Centru,7,rural,2850800701361
24.247196314171202,46.415887728924226,Seulia de Mures,116420,4354,V,23,116395,Cucerdea,Mures,26,MS,653,Centru,7,rural,2850800711562
24.156225684250156,46.464268571581449,Cuci,116448,4357,IV,22,116439,Cuci,Mures,26,MS,917,Centru,7,rural,2850801303656
24.175120821170221,46.475491672817796,Dataseni,116457,4357,V,23,116439,Cuci,Mures,26,MS,416,Centru,7,rural,2850801703862
24.195882737500558,46.488749275332715,Dupa Deal,116466,4357,V,23,116439,Cuci,Mures,26,MS,0,Centru,7,rural,2850801704480
24.141871382056905,46.456216725876892,Orosia,116475,4356,V,23,116439,Cuci,Mures,26,MS,199,Centru,7,rural,2850801708354
24.146955230706659,46.410624202055878,Petrilaca,116484,4356,V,23,116439,Cuci,Mures,26,MS,675,Centru,7,rural,2850801708800
24.696824058962775,46.223197260667831,Danes,116509,3083,IV,22,116493,Danes,Mures,26,MS,2294,Centru,7,rural,2850826303803
24.693894491065329,46.143633181338181,Cris,116518,3084,V,23,116493,Danes,Mures,26,MS,687,Centru,7,rural,2850826703593
24.694266189041656,46.242609160253643,Seleus,116527,3085,V,23,116493,Danes,Mures,26,MS,1569,Centru,7,rural,2850826710853
24.724345025319227,46.153672043197027,Stejarenii,116536,3084,V,23,116493,Danes,Mures,26,MS,335,Centru,7,rural,2850826711270
24.874131336393585,46.946680068805442,Deda,116554,4229,IV,22,116545,Deda,Mures,26,MS,1913,Centru,7,rural,2850853303979
24.906082843030003,46.960934304799139,Bistra Muresului,116563,4229,V,23,116545,Deda,Mures,26,MS,1079,Centru,7,rural,2850853701106
24.885465396969558,46.942103536545694,Filea,116572,4229,V,23,116545,Deda,Mures,26,MS,840,Centru,7,rural,2850853704731
24.844077806351219,46.935937230883724,Pietris,116581,4229,V,23,116545,Deda,Mures,26,MS,551,Centru,7,rural,2850853708868
24.924110769518158,46.661685854678737,Eremitu,116607,4341,IV,22,116590,Eremitu,Mures,26,MS,1769,Centru,7,rural,2850977304513
24.879967896525315,46.630723727377401,Calugareni,116616,4342,V,23,116590,Eremitu,Mures,26,MS,581,Centru,7,rural,2850977702197
25.013985619200373,46.670428596053142,Campu Cetatii,116625,4341,V,23,116590,Eremitu,Mures,26,MS,470,Centru,7,rural,2850977702347
24.860714411226468,46.626122251486322,Damieni,116634,4343,V,23,116590,Eremitu,Mures,26,MS,297,Centru,7,rural,2850977703833
24.902563506505189,46.652789081672289,Matrici,116643,4341,V,23,116590,Eremitu,Mures,26,MS,795,Centru,7,rural,2850977707275
24.6431089384152,46.605857991093039,Ernei,116661,4296,IV,22,116652,Ernei,Mures,26,MS,1946,Centru,7,rural,2850978304517
24.736961358051197,46.606254957769295,Caluseri,116670,4298,V,23,116652,Ernei,Mures,26,MS,665,Centru,7,rural,2850978702203
24.637967435059281,46.640959705718096,Dumbravioara,116689,4293,V,23,116652,Ernei,Mures,26,MS,1692,Centru,7,rural,2850978704436
24.693376614156637,46.611968477162797,Icland,116698,4296,V,23,116652,Ernei,Mures,26,MS,318,Centru,7,rural,2850978706054
24.697295372715971,46.599876998058676,Sacareni,116705,4297,V,23,116652,Ernei,Mures,26,MS,206,Centru,7,rural,2850978710396
24.665062993191153,46.640717883783118,Sangeru de Padure,116714,4293,V,23,116652,Ernei,Mures,26,MS,353,Centru,7,rural,2850978710607
24.517500630701328,46.762748279423413,Faragau,116732,4263,IV,22,116723,Faragau,Mures,26,MS,652,Centru,7,rural,2850988304584
