
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Alba, Anul 1995, Lei, 203944
Total, Total, Alba, Anul 1996, Lei, 316763
Total, Total, Alba, Anul 1997, Lei, 598669
Total, Total, Alba, Anul 1998, Lei, 956629
Total, Total, Alba, Anul 1999, Lei, 1420118
Total, Total, Alba, Anul 2000, Lei, 1884529
Total, Total, Alba, Anul 2001, Lei, 2675185
Total, Total, Alba, Anul 2002, Lei, 3365537
Total, Total, Alba, Anul 2003, Lei, 4333357
Total, Total, Alba, Anul 2004, Lei, 5175100
Total, Total, Alba, Anul 2005, Lei, 645
Total, Total, Alba, Anul 2006, Lei, 756
Total, Total, Alba, Anul 2007, Lei, 933
Total, Total, Alba, Anul 2008, Lei, 1128
Total, Total, Brasov, Anul 1991, Lei, 7870
Total, Total, Brasov, Anul 1992, Lei, 22367
Total, Total, Brasov, Anul 1993, Lei, 64938
Total, Total, Brasov, Anul 1994, Lei, 145604
Total, Total, Brasov, Anul 1995, Lei, 233170
Total, Total, Brasov, Anul 1996, Lei, 377935
Total, Total, Brasov, Anul 1997, Lei, 692785
Total, Total, Brasov, Anul 1998, Lei, 1111601
Total, Total, Brasov, Anul 1999, Lei, 1526204
Total, Total, Brasov, Anul 2000, Lei, 2176348
Total, Total, Brasov, Anul 2001, Lei, 2994666
Total, Total, Brasov, Anul 2002, Lei, 3712447
Total, Total, Brasov, Anul 2003, Lei, 4673047
Total, Total, Brasov, Anul 2004, Lei, 5543148
Total, Total, Brasov, Anul 2005, Lei, 681
Total, Total, Brasov, Anul 2006, Lei, 815
Total, Total, Brasov, Anul 2007, Lei, 984
Total, Total, Brasov, Anul 2008, Lei, 1226
Total, Total, Covasna, Anul 1991, Lei, 7131
Total, Total, Covasna, Anul 1992, Lei, 18637
Total, Total, Covasna, Anul 1993, Lei, 56030
Total, Total, Covasna, Anul 1994, Lei, 130483
Total, Total, Covasna, Anul 1995, Lei, 193249
Total, Total, Covasna, Anul 1996, Lei, 285087
Total, Total, Covasna, Anul 1997, Lei, 533935
Total, Total, Covasna, Anul 1998, Lei, 912921
Total, Total, Covasna, Anul 1999, Lei, 1309666
Total, Total, Covasna, Anul 2000, Lei, 1788920
Total, Total, Covasna, Anul 2001, Lei, 2491517
Total, Total, Covasna, Anul 2002, Lei, 2989829
Total, Total, Covasna, Anul 2003, Lei, 3818032
Total, Total, Covasna, Anul 2004, Lei, 5016155
Total, Total, Covasna, Anul 2005, Lei, 579
Total, Total, Covasna, Anul 2006, Lei, 656
Total, Total, Covasna, Anul 2007, Lei, 792
Total, Total, Covasna, Anul 2008, Lei, 987
Total, Total, Harghita, Anul 1991, Lei, 6960
Total, Total, Harghita, Anul 1992, Lei, 17588
Total, Total, Harghita, Anul 1993, Lei, 52220
Total, Total, Harghita, Anul 1994, Lei, 123569
Total, Total, Harghita, Anul 1995, Lei, 176318
Total, Total, Harghita, Anul 1996, Lei, 268676
Total, Total, Harghita, Anul 1997, Lei, 507565
Total, Total, Harghita, Anul 1998, Lei, 878893
Total, Total, Harghita, Anul 1999, Lei, 1314723
Total, Total, Harghita, Anul 2000, Lei, 1756853
Total, Total, Harghita, Anul 2001, Lei, 2441663
Total, Total, Harghita, Anul 2002, Lei, 3166295
Total, Total, Harghita, Anul 2003, Lei, 4128953
Total, Total, Harghita, Anul 2004, Lei, 5311252
Total, Total, Harghita, Anul 2005, Lei, 617
Total, Total, Harghita, Anul 2006, Lei, 704
Total, Total, Harghita, Anul 2007, Lei, 814
Total, Total, Harghita, Anul 2008, Lei, 998
Total, Total, Mures, Anul 1991, Lei, 7186
Total, Total, Mures, Anul 1992, Lei, 18507
Total, Total, Mures, Anul 1993, Lei, 54482
Total, Total, Mures, Anul 1994, Lei, 123546
Total, Total, Mures, Anul 1995, Lei, 189093
Total, Total, Mures, Anul 1996, Lei, 288205
Total, Total, Mures, Anul 1997, Lei, 610682
Total, Total, Mures, Anul 1998, Lei, 972295
Total, Total, Mures, Anul 1999, Lei, 1460077
Total, Total, Mures, Anul 2000, Lei, 1959080
Total, Total, Mures, Anul 2001, Lei, 2734030
Total, Total, Mures, Anul 2002, Lei, 3497464
Total, Total, Mures, Anul 2003, Lei, 4629628
Total, Total, Mures, Anul 2004, Lei, 5634486
Total, Total, Mures, Anul 2005, Lei, 671
Total, Total, Mures, Anul 2006, Lei, 784
Total, Total, Mures, Anul 2007, Lei, 950
Total, Total, Mures, Anul 2008, Lei, 1133
Total, Total, Sibiu, Anul 1991, Lei, 7144
Total, Total, Sibiu, Anul 1992, Lei, 18975
Total, Total, Sibiu, Anul 1993, Lei, 57390
Total, Total, Sibiu, Anul 1994, Lei, 135268
Total, Total, Sibiu, Anul 1995, Lei, 201872
Total, Total, Sibiu, Anul 1996, Lei, 297379
Total, Total, Sibiu, Anul 1997, Lei, 591481
Total, Total, Sibiu, Anul 1998, Lei, 946635
Total, Total, Sibiu, Anul 1999, Lei, 1345601
Total, Total, Sibiu, Anul 2000, Lei, 1983424
Total, Total, Sibiu, Anul 2001, Lei, 2678464
Total, Total, Sibiu, Anul 2002, Lei, 3401990
Total, Total, Sibiu, Anul 2003, Lei, 4449109
Total, Total, Sibiu, Anul 2004, Lei, 5799247
Total, Total, Sibiu, Anul 2005, Lei, 694
Total, Total, Sibiu, Anul 2006, Lei, 834
Total, Total, Sibiu, Anul 2007, Lei, 987
Total, Total, Sibiu, Anul 2008, Lei, 1230
Total, Total, MACROREGIUNEA DOI, Anul 2008, Lei, 1173
Total, Total, Regiunea NORD-EST, Anul 1991, Lei, 7165
Total, Total, Regiunea NORD-EST, Anul 1992, Lei, 18860
Total, Total, Regiunea NORD-EST, Anul 1993, Lei, 55172
Total, Total, Regiunea NORD-EST, Anul 1994, Lei, 128629
Total, Total, Regiunea NORD-EST, Anul 1995, Lei, 190996
Total, Total, Regiunea NORD-EST, Anul 1996, Lei, 287246
Total, Total, Regiunea NORD-EST, Anul 1997, Lei, 569570
Total, Total, Regiunea NORD-EST, Anul 1998, Lei, 942828
Total, Total, Regiunea NORD-EST, Anul 1999, Lei, 1322201
Total, Total, Regiunea NORD-EST, Anul 2000, Lei, 1850572
Total, Total, Regiunea NORD-EST, Anul 2001, Lei, 2634750
Total, Total, Regiunea NORD-EST, Anul 2002, Lei, 3410964
Total, Total, Regiunea NORD-EST, Anul 2003, Lei, 4321047
Total, Total, Regiunea NORD-EST, Anul 2004, Lei, 5421858
Total, Total, Regiunea NORD-EST, Anul 2005, Lei, 663
Total, Total, Regiunea NORD-EST, Anul 2006, Lei, 765
Total, Total, Regiunea NORD-EST, Anul 2007, Lei, 938
Total, Total, Regiunea NORD-EST, Anul 2008, Lei, 1155
Total, Total, Bacau, Anul 1991, Lei, 7807
Total, Total, Bacau, Anul 1992, Lei, 21087
Total, Total, Bacau, Anul 1993, Lei, 59576
Total, Total, Bacau, Anul 1994, Lei, 140819
Total, Total, Bacau, Anul 1995, Lei, 205113
Total, Total, Bacau, Anul 1996, Lei, 311399
Total, Total, Bacau, Anul 1997, Lei, 627494
Total, Total, Bacau, Anul 1998, Lei, 1041641
Total, Total, Bacau, Anul 1999, Lei, 1512192
Total, Total, Bacau, Anul 2000, Lei, 2046898
Total, Total, Bacau, Anul 2001, Lei, 2925725
Total, Total, Bacau, Anul 2002, Lei, 3872701
Total, Total, Bacau, Anul 2003, Lei, 4802120
Total, Total, Bacau, Anul 2004, Lei, 5865279
Total, Total, Bacau, Anul 2005, Lei, 718
Total, Total, Bacau, Anul 2006, Lei, 845
Total, Total, Bacau, Anul 2007, Lei, 1018
Total, Total, Bacau, Anul 2008, Lei, 1254
Total, Total, Botosani, Anul 1991, Lei, 6536
Total, Total, Botosani, Anul 1992, Lei, 16102
Total, Total, Botosani, Anul 1993, Lei, 47612
Total, Total, Botosani, Anul 1994, Lei, 116216
Total, Total, Botosani, Anul 1995, Lei, 165940
Total, Total, Botosani, Anul 1996, Lei, 249355
Total, Total, Botosani, Anul 1997, Lei, 490966
Total, Total, Botosani, Anul 1998, Lei, 879429
Total, Total, Botosani, Anul 1999, Lei, 1183216
Total, Total, Botosani, Anul 2000, Lei, 1710229
Total, Total, Botosani, Anul 2001, Lei, 2432218
Total, Total, Botosani, Anul 2002, Lei, 3056913
Total, Total, Botosani, Anul 2003, Lei, 4007178
Total, Total, Botosani, Anul 2004, Lei, 4943132
Total, Total, Botosani, Anul 2005, Lei, 618
Total, Total, Botosani, Anul 2006, Lei, 715
Total, Total, Botosani, Anul 2007, Lei, 881
Total, Total, Botosani, Anul 2008, Lei, 1036
Total, Total, Iasi, Anul 1991, Lei, 7182
Total, Total, Iasi, Anul 1992, Lei, 18858
Total, Total, Iasi, Anul 1993, Lei, 55410
Total, Total, Iasi, Anul 1994, Lei, 127790
Total, Total, Iasi, Anul 1995, Lei, 188968
Total, Total, Iasi, Anul 1996, Lei, 282194
Total, Total, Iasi, Anul 1997, Lei, 573390
Total, Total, Iasi, Anul 1998, Lei, 934394
Total, Total, Iasi, Anul 1999, Lei, 1344062
Total, Total, Iasi, Anul 2000, Lei, 1858332
Total, Total, Iasi, Anul 2001, Lei, 2684295
Total, Total, Iasi, Anul 2002, Lei, 3381814
Total, Total, Iasi, Anul 2003, Lei, 4384017
Total, Total, Iasi, Anul 2004, Lei, 5712000
Total, Total, Iasi, Anul 2005, Lei, 703
Total, Total, Iasi, Anul 2006, Lei, 792
Total, Total, Iasi, Anul 2007, Lei, 1000
Total, Total, Iasi, Anul 2008, Lei, 1257
Total, Total, Neamt, Anul 1991, Lei, 7106
Total, Total, Neamt, Anul 1992, Lei, 19517
Total, Total, Neamt, Anul 1993, Lei, 57159
Total, Total, Neamt, Anul 1994, Lei, 127674
Total, Total, Neamt, Anul 1995, Lei, 193779
Total, Total, Neamt, Anul 1996, Lei, 291662
Total, Total, Neamt, Anul 1997, Lei, 581696
Total, Total, Neamt, Anul 1998, Lei, 933658
Total, Total, Neamt, Anul 1999, Lei, 1273006
Total, Total, Neamt, Anul 2000, Lei, 1755304
Total, Total, Neamt, Anul 2001, Lei, 2480340
Total, Total, Neamt, Anul 2002, Lei, 3284782
Total, Total, Neamt, Anul 2003, Lei, 3903314
Total, Total, Neamt, Anul 2004, Lei, 5028829
Total, Total, Neamt, Anul 2005, Lei, 603
Total, Total, Neamt, Anul 2006, Lei, 710
Total, Total, Neamt, Anul 2007, Lei, 879
Total, Total, Neamt, Anul 2008, Lei, 1040
Total, Total, Suceava, Anul 1991, Lei, 7077
Total, Total, Suceava, Anul 1992, Lei, 17925
Total, Total, Suceava, Anul 1993, Lei, 53809
Total, Total, Suceava, Anul 1994, Lei, 126928
Total, Total, Suceava, Anul 1995, Lei, 191499
Total, Total, Suceava, Anul 1996, Lei, 287590
Total, Total, Suceava, Anul 1997, Lei, 542182
Total, Total, Suceava, Anul 1998, Lei, 883428
Total, Total, Suceava, Anul 1999, Lei, 1227379
Total, Total, Suceava, Anul 2000, Lei, 1773964
Total, Total, Suceava, Anul 2001, Lei, 2519734
Total, Total, Suceava, Anul 2002, Lei, 3215442
Total, Total, Suceava, Anul 2003, Lei, 4247453
Total, Total, Suceava, Anul 2004, Lei, 5269477
Total, Total, Suceava, Anul 2005, Lei, 639
Total, Total, Suceava, Anul 2006, Lei, 726
Total, Total, Suceava, Anul 2007, Lei, 886
Total, Total, Suceava, Anul 2008, Lei, 1091
Total, Total, Vaslui, Anul 1991, Lei, 6694
Total, Total, Vaslui, Anul 1992, Lei, 17513
Total, Total, Vaslui, Anul 1993, Lei, 52041
Total, Total, Vaslui, Anul 1994, Lei, 120416
Total, Total, Vaslui, Anul 1995, Lei, 183300
Total, Total, Vaslui, Anul 1996, Lei, 271730
Total, Total, Vaslui, Anul 1997, Lei, 533182
Total, Total, Vaslui, Anul 1998, Lei, 908673
Total, Total, Vaslui, Anul 1999, Lei, 1256359
Total, Total, Vaslui, Anul 2000, Lei, 1809748
Total, Total, Vaslui, Anul 2001, Lei, 2478652
Total, Total, Vaslui, Anul 2002, Lei, 3306616
Total, Total, Vaslui, Anul 2003, Lei, 4133860
Total, Total, Vaslui, Anul 2004, Lei, 5014125
Total, Total, Vaslui, Anul 2005, Lei, 608
Total, Total, Vaslui, Anul 2006, Lei, 717
Total, Total, Vaslui, Anul 2007, Lei, 833
Total, Total, Vaslui, Anul 2008, Lei, 1060
Total, Total, Regiunea SUD-EST, Anul 1991, Lei, 7495
Total, Total, Regiunea SUD-EST, Anul 1992, Lei, 20637
Total, Total, Regiunea SUD-EST, Anul 1993, Lei, 61078
Total, Total, Regiunea SUD-EST, Anul 1994, Lei, 145128
Total, Total, Regiunea SUD-EST, Anul 1995, Lei, 215959
Total, Total, Regiunea SUD-EST, Anul 1996, Lei, 331595
Total, Total, Regiunea SUD-EST, Anul 1997, Lei, 657899
Total, Total, Regiunea SUD-EST, Anul 1998, Lei, 1083628
Total, Total, Regiunea SUD-EST, Anul 1999, Lei, 1509764
Total, Total, Regiunea SUD-EST, Anul 2000, Lei, 2168914
Total, Total, Regiunea SUD-EST, Anul 2001, Lei, 3026449
Total, Total, Regiunea SUD-EST, Anul 2002, Lei, 3725143
Total, Total, Regiunea SUD-EST, Anul 2003, Lei, 4772784
Total, Total, Regiunea SUD-EST, Anul 2004, Lei, 5827400
Total, Total, Regiunea SUD-EST, Anul 2005, Lei, 702
Total, Total, Regiunea SUD-EST, Anul 2006, Lei, 817
Total, Total, Regiunea SUD-EST, Anul 2007, Lei, 972
Total, Total, Regiunea SUD-EST, Anul 2008, Lei, 1190
Total, Total, Braila, Anul 1991, Lei, 7219
Total, Total, Braila, Anul 1992, Lei, 19673
Total, Total, Braila, Anul 1993, Lei, 58683
Total, Total, Braila, Anul 1994, Lei, 131479
Total, Total, Braila, Anul 1995, Lei, 198351
Total, Total, Braila, Anul 1996, Lei, 302730
Total, Total, Braila, Anul 1997, Lei, 572346
Total, Total, Braila, Anul 1998, Lei, 948313
Total, Total, Braila, Anul 1999, Lei, 1289941
Total, Total, Braila, Anul 2000, Lei, 1871866
Total, Total, Braila, Anul 2001, Lei, 2607759
Total, Total, Braila, Anul 2002, Lei, 3233439
Total, Total, Braila, Anul 2003, Lei, 4179975
Total, Total, Braila, Anul 2004, Lei, 5336339
Total, Total, Braila, Anul 2005, Lei, 622
Total, Total, Braila, Anul 2006, Lei, 730
Total, Total, Braila, Anul 2007, Lei, 914
Total, Total, Braila, Anul 2008, Lei, 1125
Total, Total, Buzau, Anul 1991, Lei, 7079
Total, Total, Buzau, Anul 1992, Lei, 18550
Total, Total, Buzau, Anul 1993, Lei, 54483
Total, Total, Buzau, Anul 1994, Lei, 126042
Total, Total, Buzau, Anul 1995, Lei, 194951
Total, Total, Buzau, Anul 1996, Lei, 282127
Total, Total, Buzau, Anul 1997, Lei, 543542
