
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
L Administratie publica si aparare, Total, MACROREGIUNEA TREI, Anul 2008, Lei, 2716
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1991, Lei, 7526
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1992, Lei, 20122
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1993, Lei, 60364
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1994, Lei, 141332
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1995, Lei, 197191
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1996, Lei, 258957
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1997, Lei, 573895
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1998, Lei, 1285500
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 1999, Lei, 1894296
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2000, Lei, 2781204
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2001, Lei, 3776560
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2002, Lei, 4715688
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2003, Lei, 6130259
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2004, Lei, 7426006
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2005, Lei, 1000
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2006, Lei, 1362
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2007, Lei, 1708
L Administratie publica si aparare, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 1970
L Administratie publica si aparare, Total, Arges, Anul 1991, Lei, 7386
L Administratie publica si aparare, Total, Arges, Anul 1992, Lei, 20019
L Administratie publica si aparare, Total, Arges, Anul 1993, Lei, 61666
L Administratie publica si aparare, Total, Arges, Anul 1994, Lei, 142086
L Administratie publica si aparare, Total, Arges, Anul 1995, Lei, 199533
L Administratie publica si aparare, Total, Arges, Anul 1996, Lei, 274736
L Administratie publica si aparare, Total, Arges, Anul 1997, Lei, 620042
L Administratie publica si aparare, Total, Arges, Anul 1998, Lei, 1429002
L Administratie publica si aparare, Total, Arges, Anul 1999, Lei, 1950262
L Administratie publica si aparare, Total, Arges, Anul 2000, Lei, 2963391
L Administratie publica si aparare, Total, Arges, Anul 2001, Lei, 4026157
L Administratie publica si aparare, Total, Arges, Anul 2002, Lei, 5034738
L Administratie publica si aparare, Total, Arges, Anul 2003, Lei, 6510785
L Administratie publica si aparare, Total, Arges, Anul 2004, Lei, 7925491
L Administratie publica si aparare, Total, Arges, Anul 2005, Lei, 1032
L Administratie publica si aparare, Total, Arges, Anul 2006, Lei, 1445
L Administratie publica si aparare, Total, Arges, Anul 2007, Lei, 1725
L Administratie publica si aparare, Total, Arges, Anul 2008, Lei, 1899
L Administratie publica si aparare, Total, Calarasi, Anul 1991, Lei, 7728
L Administratie publica si aparare, Total, Calarasi, Anul 1992, Lei, 19024
L Administratie publica si aparare, Total, Calarasi, Anul 1993, Lei, 61121
L Administratie publica si aparare, Total, Calarasi, Anul 1994, Lei, 136123
L Administratie publica si aparare, Total, Calarasi, Anul 1995, Lei, 200630
L Administratie publica si aparare, Total, Calarasi, Anul 1996, Lei, 248528
L Administratie publica si aparare, Total, Calarasi, Anul 1997, Lei, 573617
L Administratie publica si aparare, Total, Calarasi, Anul 1998, Lei, 1135320
L Administratie publica si aparare, Total, Calarasi, Anul 1999, Lei, 1824200
L Administratie publica si aparare, Total, Calarasi, Anul 2000, Lei, 2672311
L Administratie publica si aparare, Total, Calarasi, Anul 2001, Lei, 3477566
L Administratie publica si aparare, Total, Calarasi, Anul 2002, Lei, 4467376
L Administratie publica si aparare, Total, Calarasi, Anul 2003, Lei, 5771614
L Administratie publica si aparare, Total, Calarasi, Anul 2004, Lei, 6746997
L Administratie publica si aparare, Total, Calarasi, Anul 2005, Lei, 929
L Administratie publica si aparare, Total, Calarasi, Anul 2006, Lei, 1255
L Administratie publica si aparare, Total, Calarasi, Anul 2007, Lei, 1646
L Administratie publica si aparare, Total, Calarasi, Anul 2008, Lei, 1983
L Administratie publica si aparare, Total, Dambovita, Anul 1991, Lei, 8008
L Administratie publica si aparare, Total, Dambovita, Anul 1992, Lei, 22165
L Administratie publica si aparare, Total, Dambovita, Anul 1993, Lei, 65720
L Administratie publica si aparare, Total, Dambovita, Anul 1994, Lei, 149053
L Administratie publica si aparare, Total, Dambovita, Anul 1995, Lei, 203981
L Administratie publica si aparare, Total, Dambovita, Anul 1996, Lei, 245202
L Administratie publica si aparare, Total, Dambovita, Anul 1997, Lei, 570589
L Administratie publica si aparare, Total, Dambovita, Anul 1998, Lei, 1351837
L Administratie publica si aparare, Total, Dambovita, Anul 1999, Lei, 1831861
L Administratie publica si aparare, Total, Dambovita, Anul 2000, Lei, 2609875
L Administratie publica si aparare, Total, Dambovita, Anul 2001, Lei, 3697202
L Administratie publica si aparare, Total, Dambovita, Anul 2002, Lei, 4738709
L Administratie publica si aparare, Total, Dambovita, Anul 2003, Lei, 6152273
L Administratie publica si aparare, Total, Dambovita, Anul 2004, Lei, 7512467
L Administratie publica si aparare, Total, Dambovita, Anul 2005, Lei, 1014
L Administratie publica si aparare, Total, Dambovita, Anul 2006, Lei, 1326
L Administratie publica si aparare, Total, Dambovita, Anul 2007, Lei, 1676
L Administratie publica si aparare, Total, Dambovita, Anul 2008, Lei, 1946
L Administratie publica si aparare, Total, Giurgiu, Anul 1991, Lei, 7112
L Administratie publica si aparare, Total, Giurgiu, Anul 1992, Lei, 18939
L Administratie publica si aparare, Total, Giurgiu, Anul 1993, Lei, 57216
L Administratie publica si aparare, Total, Giurgiu, Anul 1994, Lei, 127077
L Administratie publica si aparare, Total, Giurgiu, Anul 1995, Lei, 175763
L Administratie publica si aparare, Total, Giurgiu, Anul 1996, Lei, 232490
L Administratie publica si aparare, Total, Giurgiu, Anul 1997, Lei, 483781
L Administratie publica si aparare, Total, Giurgiu, Anul 1998, Lei, 1075868
L Administratie publica si aparare, Total, Giurgiu, Anul 1999, Lei, 1801086
L Administratie publica si aparare, Total, Giurgiu, Anul 2000, Lei, 2422514
L Administratie publica si aparare, Total, Giurgiu, Anul 2001, Lei, 3195324
L Administratie publica si aparare, Total, Giurgiu, Anul 2002, Lei, 3977817
L Administratie publica si aparare, Total, Giurgiu, Anul 2003, Lei, 5327043
L Administratie publica si aparare, Total, Giurgiu, Anul 2004, Lei, 6452780
L Administratie publica si aparare, Total, Giurgiu, Anul 2005, Lei, 833
L Administratie publica si aparare, Total, Giurgiu, Anul 2006, Lei, 1085
L Administratie publica si aparare, Total, Giurgiu, Anul 2007, Lei, 1475
L Administratie publica si aparare, Total, Giurgiu, Anul 2008, Lei, 1726
L Administratie publica si aparare, Total, Ialomita, Anul 1991, Lei, 7734
L Administratie publica si aparare, Total, Ialomita, Anul 1992, Lei, 20608
L Administratie publica si aparare, Total, Ialomita, Anul 1993, Lei, 54888
L Administratie publica si aparare, Total, Ialomita, Anul 1994, Lei, 139802
L Administratie publica si aparare, Total, Ialomita, Anul 1995, Lei, 197056
L Administratie publica si aparare, Total, Ialomita, Anul 1996, Lei, 255538
L Administratie publica si aparare, Total, Ialomita, Anul 1997, Lei, 558241
L Administratie publica si aparare, Total, Ialomita, Anul 1998, Lei, 1226352
L Administratie publica si aparare, Total, Ialomita, Anul 1999, Lei, 2020878
L Administratie publica si aparare, Total, Ialomita, Anul 2000, Lei, 2846102
L Administratie publica si aparare, Total, Ialomita, Anul 2001, Lei, 3662163
L Administratie publica si aparare, Total, Ialomita, Anul 2002, Lei, 4542621
L Administratie publica si aparare, Total, Ialomita, Anul 2003, Lei, 5580144
L Administratie publica si aparare, Total, Ialomita, Anul 2004, Lei, 7902273
L Administratie publica si aparare, Total, Ialomita, Anul 2005, Lei, 1021
L Administratie publica si aparare, Total, Ialomita, Anul 2006, Lei, 1404
L Administratie publica si aparare, Total, Ialomita, Anul 2007, Lei, 1794
L Administratie publica si aparare, Total, Ialomita, Anul 2008, Lei, 1932
L Administratie publica si aparare, Total, Prahova, Anul 1991, Lei, 7167
L Administratie publica si aparare, Total, Prahova, Anul 1992, Lei, 19479
L Administratie publica si aparare, Total, Prahova, Anul 1993, Lei, 58161
L Administratie publica si aparare, Total, Prahova, Anul 1994, Lei, 145430
L Administratie publica si aparare, Total, Prahova, Anul 1995, Lei, 198984
L Administratie publica si aparare, Total, Prahova, Anul 1996, Lei, 273265
L Administratie publica si aparare, Total, Prahova, Anul 1997, Lei, 590989
L Administratie publica si aparare, Total, Prahova, Anul 1998, Lei, 1379626
L Administratie publica si aparare, Total, Prahova, Anul 1999, Lei, 2018005
L Administratie publica si aparare, Total, Prahova, Anul 2000, Lei, 3232979
L Administratie publica si aparare, Total, Prahova, Anul 2001, Lei, 4264035
L Administratie publica si aparare, Total, Prahova, Anul 2002, Lei, 5137666
L Administratie publica si aparare, Total, Prahova, Anul 2003, Lei, 6811681
L Administratie publica si aparare, Total, Prahova, Anul 2004, Lei, 8242486
L Administratie publica si aparare, Total, Prahova, Anul 2005, Lei, 1120
L Administratie publica si aparare, Total, Prahova, Anul 2006, Lei, 1623
L Administratie publica si aparare, Total, Prahova, Anul 2007, Lei, 1862
L Administratie publica si aparare, Total, Prahova, Anul 2008, Lei, 2263
L Administratie publica si aparare, Total, Teleorman, Anul 1991, Lei, 7740
L Administratie publica si aparare, Total, Teleorman, Anul 1992, Lei, 19991
L Administratie publica si aparare, Total, Teleorman, Anul 1993, Lei, 63954
L Administratie publica si aparare, Total, Teleorman, Anul 1994, Lei, 142588
L Administratie publica si aparare, Total, Teleorman, Anul 1995, Lei, 198386
L Administratie publica si aparare, Total, Teleorman, Anul 1996, Lei, 273212
L Administratie publica si aparare, Total, Teleorman, Anul 1997, Lei, 592448
L Administratie publica si aparare, Total, Teleorman, Anul 1998, Lei, 1262285
L Administratie publica si aparare, Total, Teleorman, Anul 1999, Lei, 1757734
L Administratie publica si aparare, Total, Teleorman, Anul 2000, Lei, 2443839
L Administratie publica si aparare, Total, Teleorman, Anul 2001, Lei, 3549988
L Administratie publica si aparare, Total, Teleorman, Anul 2002, Lei, 4520884
L Administratie publica si aparare, Total, Teleorman, Anul 2003, Lei, 5997458
L Administratie publica si aparare, Total, Teleorman, Anul 2004, Lei, 6566274
L Administratie publica si aparare, Total, Teleorman, Anul 2005, Lei, 953
L Administratie publica si aparare, Total, Teleorman, Anul 2006, Lei, 1227
L Administratie publica si aparare, Total, Teleorman, Anul 2007, Lei, 1638
L Administratie publica si aparare, Total, Teleorman, Anul 2008, Lei, 1864
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Lei, 10183
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Lei, 24559
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Lei, 72160
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Lei, 176089
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Lei, 353913
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Lei, 478713
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Lei, 674035
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Lei, 1588430
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Lei, 3248408
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Lei, 4036710
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Lei, 6028684
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Lei, 6375811
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Lei, 8835984
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Lei, 10656504
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Lei, 1589
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Lei, 2099
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Lei, 2643
L Administratie publica si aparare, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 3229
L Administratie publica si aparare, Total, Ilfov, Anul 1996, Lei, 184345
L Administratie publica si aparare, Total, Ilfov, Anul 1997, Lei, 466496
L Administratie publica si aparare, Total, Ilfov, Anul 1998, Lei, 962233
L Administratie publica si aparare, Total, Ilfov, Anul 1999, Lei, 1532679
L Administratie publica si aparare, Total, Ilfov, Anul 2000, Lei, 2725172
L Administratie publica si aparare, Total, Ilfov, Anul 2001, Lei, 2890482
L Administratie publica si aparare, Total, Ilfov, Anul 2002, Lei, 3679945
L Administratie publica si aparare, Total, Ilfov, Anul 2003, Lei, 4837082
L Administratie publica si aparare, Total, Ilfov, Anul 2004, Lei, 6047261
L Administratie publica si aparare, Total, Ilfov, Anul 2005, Lei, 953
L Administratie publica si aparare, Total, Ilfov, Anul 2006, Lei, 1042
L Administratie publica si aparare, Total, Ilfov, Anul 2007, Lei, 1486
L Administratie publica si aparare, Total, Ilfov, Anul 2008, Lei, 1514
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 1996, Lei, 492109
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 1997, Lei, 685364
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 1998, Lei, 1632341
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 1999, Lei, 3379703
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2000, Lei, 4156225
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2001, Lei, 6370393
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2002, Lei, 6668358
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2003, Lei, 9246357
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2004, Lei, 11112223
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2005, Lei, 1642
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2006, Lei, 2192
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2007, Lei, 2736
L Administratie publica si aparare, Total, Municipiul Bucuresti, Anul 2008, Lei, 3396
L Administratie publica si aparare, Total, Mun. Bucuresti -incl. SAI, Anul 1991, Lei, 10183
L Administratie publica si aparare, Total, Mun. Bucuresti -incl. SAI, Anul 1992, Lei, 24559
L Administratie publica si aparare, Total, Mun. Bucuresti -incl. SAI, Anul 1993, Lei, 72160
L Administratie publica si aparare, Total, Mun. Bucuresti -incl. SAI, Anul 1994, Lei, 176089
L Administratie publica si aparare, Total, Mun. Bucuresti -incl. SAI, Anul 1995, Lei, 353913
L Administratie publica si aparare, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 2157
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Lei, 8026
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Lei, 19907
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Lei, 57475
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Lei, 146629
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Lei, 201080
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Lei, 265546
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Lei, 597930
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Lei, 1320521
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Lei, 1817356
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Lei, 2783116
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Lei, 3842006
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Lei, 4887716
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Lei, 6323225
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Lei, 7979829
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Lei, 999
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Lei, 1451
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Lei, 1841
L Administratie publica si aparare, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 2117
L Administratie publica si aparare, Total, Dolj, Anul 1991, Lei, 8482
L Administratie publica si aparare, Total, Dolj, Anul 1992, Lei, 20241
L Administratie publica si aparare, Total, Dolj, Anul 1993, Lei, 61756
L Administratie publica si aparare, Total, Dolj, Anul 1994, Lei, 145840
L Administratie publica si aparare, Total, Dolj, Anul 1995, Lei, 205128
L Administratie publica si aparare, Total, Dolj, Anul 1996, Lei, 272960
L Administratie publica si aparare, Total, Dolj, Anul 1997, Lei, 588129
L Administratie publica si aparare, Total, Dolj, Anul 1998, Lei, 1341922
L Administratie publica si aparare, Total, Dolj, Anul 1999, Lei, 1842993
L Administratie publica si aparare, Total, Dolj, Anul 2000, Lei, 2791079
L Administratie publica si aparare, Total, Dolj, Anul 2001, Lei, 3896607
L Administratie publica si aparare, Total, Dolj, Anul 2002, Lei, 4885852
L Administratie publica si aparare, Total, Dolj, Anul 2003, Lei, 6145715
L Administratie publica si aparare, Total, Dolj, Anul 2004, Lei, 8503399
L Administratie publica si aparare, Total, Dolj, Anul 2005, Lei, 956
L Administratie publica si aparare, Total, Dolj, Anul 2006, Lei, 1428
L Administratie publica si aparare, Total, Dolj, Anul 2007, Lei, 1745
L Administratie publica si aparare, Total, Dolj, Anul 2008, Lei, 2089
L Administratie publica si aparare, Total, Gorj, Anul 1991, Lei, 7874
L Administratie publica si aparare, Total, Gorj, Anul 1992, Lei, 21671
L Administratie publica si aparare, Total, Gorj, Anul 1993, Lei, 60429
L Administratie publica si aparare, Total, Gorj, Anul 1994, Lei, 147055
L Administratie publica si aparare, Total, Gorj, Anul 1995, Lei, 196634
L Administratie publica si aparare, Total, Gorj, Anul 1996, Lei, 272200
L Administratie publica si aparare, Total, Gorj, Anul 1997, Lei, 635093
L Administratie publica si aparare, Total, Gorj, Anul 1998, Lei, 1445292
L Administratie publica si aparare, Total, Gorj, Anul 1999, Lei, 1842643
L Administratie publica si aparare, Total, Gorj, Anul 2000, Lei, 2945523
L Administratie publica si aparare, Total, Gorj, Anul 2001, Lei, 4189859
L Administratie publica si aparare, Total, Gorj, Anul 2002, Lei, 5280901
L Administratie publica si aparare, Total, Gorj, Anul 2003, Lei, 6599790
L Administratie publica si aparare, Total, Gorj, Anul 2004, Lei, 8729323
L Administratie publica si aparare, Total, Gorj, Anul 2005, Lei, 1131
L Administratie publica si aparare, Total, Gorj, Anul 2006, Lei, 1512
L Administratie publica si aparare, Total, Gorj, Anul 2007, Lei, 2117
L Administratie publica si aparare, Total, Gorj, Anul 2008, Lei, 2397
L Administratie publica si aparare, Total, Mehedinti, Anul 1991, Lei, 8242
L Administratie publica si aparare, Total, Mehedinti, Anul 1992, Lei, 20044
L Administratie publica si aparare, Total, Mehedinti, Anul 1993, Lei, 43002
L Administratie publica si aparare, Total, Mehedinti, Anul 1994, Lei, 144774
L Administratie publica si aparare, Total, Mehedinti, Anul 1995, Lei, 191932
L Administratie publica si aparare, Total, Mehedinti, Anul 1996, Lei, 248094
L Administratie publica si aparare, Total, Mehedinti, Anul 1997, Lei, 610133
L Administratie publica si aparare, Total, Mehedinti, Anul 1998, Lei, 1410522
L Administratie publica si aparare, Total, Mehedinti, Anul 1999, Lei, 1892427
L Administratie publica si aparare, Total, Mehedinti, Anul 2000, Lei, 2703849
L Administratie publica si aparare, Total, Mehedinti, Anul 2001, Lei, 3589099
L Administratie publica si aparare, Total, Mehedinti, Anul 2002, Lei, 4754630
L Administratie publica si aparare, Total, Mehedinti, Anul 2003, Lei, 6720717
L Administratie publica si aparare, Total, Mehedinti, Anul 2004, Lei, 8215816
L Administratie publica si aparare, Total, Mehedinti, Anul 2005, Lei, 1071
L Administratie publica si aparare, Total, Mehedinti, Anul 2006, Lei, 1679
L Administratie publica si aparare, Total, Mehedinti, Anul 2007, Lei, 2132
L Administratie publica si aparare, Total, Mehedinti, Anul 2008, Lei, 2269
L Administratie publica si aparare, Total, Olt, Anul 1991, Lei, 7775
L Administratie publica si aparare, Total, Olt, Anul 1992, Lei, 18870
L Administratie publica si aparare, Total, Olt, Anul 1993, Lei, 64708
L Administratie publica si aparare, Total, Olt, Anul 1994, Lei, 148708
L Administratie publica si aparare, Total, Olt, Anul 1995, Lei, 205378
L Administratie publica si aparare, Total, Olt, Anul 1996, Lei, 264920
L Administratie publica si aparare, Total, Olt, Anul 1997, Lei, 568773
L Administratie publica si aparare, Total, Olt, Anul 1998, Lei, 1206590
L Administratie publica si aparare, Total, Olt, Anul 1999, Lei, 1760897
L Administratie publica si aparare, Total, Olt, Anul 2000, Lei, 2656805
L Administratie publica si aparare, Total, Olt, Anul 2001, Lei, 3497118
L Administratie publica si aparare, Total, Olt, Anul 2002, Lei, 4789668
L Administratie publica si aparare, Total, Olt, Anul 2003, Lei, 6296210
L Administratie publica si aparare, Total, Olt, Anul 2004, Lei, 6567693
L Administratie publica si aparare, Total, Olt, Anul 2005, Lei, 888
L Administratie publica si aparare, Total, Olt, Anul 2006, Lei, 1228
L Administratie publica si aparare, Total, Olt, Anul 2007, Lei, 1634
L Administratie publica si aparare, Total, Olt, Anul 2008, Lei, 1919
L Administratie publica si aparare, Total, Valcea, Anul 1991, Lei, 7732
L Administratie publica si aparare, Total, Valcea, Anul 1992, Lei, 18916
L Administratie publica si aparare, Total, Valcea, Anul 1993, Lei, 57804
L Administratie publica si aparare, Total, Valcea, Anul 1994, Lei, 147236
L Administratie publica si aparare, Total, Valcea, Anul 1995, Lei, 204271
L Administratie publica si aparare, Total, Valcea, Anul 1996, Lei, 268645
L Administratie publica si aparare, Total, Valcea, Anul 1997, Lei, 603441
L Administratie publica si aparare, Total, Valcea, Anul 1998, Lei, 1236021
L Administratie publica si aparare, Total, Valcea, Anul 1999, Lei, 1762722
L Administratie publica si aparare, Total, Valcea, Anul 2000, Lei, 2849718
L Administratie publica si aparare, Total, Valcea, Anul 2001, Lei, 4078048
L Administratie publica si aparare, Total, Valcea, Anul 2002, Lei, 4785667
L Administratie publica si aparare, Total, Valcea, Anul 2003, Lei, 6016671
L Administratie publica si aparare, Total, Valcea, Anul 2004, Lei, 8116964
L Administratie publica si aparare, Total, Valcea, Anul 2005, Lei, 1029
L Administratie publica si aparare, Total, Valcea, Anul 2006, Lei, 1517
L Administratie publica si aparare, Total, Valcea, Anul 2007, Lei, 1768
L Administratie publica si aparare, Total, Valcea, Anul 2008, Lei, 2008
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1991, Lei, 7483
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1992, Lei, 19837
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1993, Lei, 63484
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1994, Lei, 141986
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1995, Lei, 198800
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1996, Lei, 261656
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1997, Lei, 602644
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1998, Lei, 1364651
L Administratie publica si aparare, Total, Regiunea VEST, Anul 1999, Lei, 1811202
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2000, Lei, 2715461
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2001, Lei, 3677819
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2002, Lei, 4800635
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2003, Lei, 6519912
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2004, Lei, 7891298
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2005, Lei, 1069
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2006, Lei, 1395
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2007, Lei, 1815
L Administratie publica si aparare, Total, Regiunea VEST, Anul 2008, Lei, 2205
L Administratie publica si aparare, Total, Arad, Anul 1991, Lei, 7685
L Administratie publica si aparare, Total, Arad, Anul 1992, Lei, 19961
L Administratie publica si aparare, Total, Arad, Anul 1993, Lei, 59100
L Administratie publica si aparare, Total, Arad, Anul 1994, Lei, 142788
L Administratie publica si aparare, Total, Arad, Anul 1995, Lei, 189252
L Administratie publica si aparare, Total, Arad, Anul 1996, Lei, 261056
L Administratie publica si aparare, Total, Arad, Anul 1997, Lei, 606268
L Administratie publica si aparare, Total, Arad, Anul 1998, Lei, 1315128
L Administratie publica si aparare, Total, Arad, Anul 1999, Lei, 1830784
L Administratie publica si aparare, Total, Arad, Anul 2000, Lei, 2977114
L Administratie publica si aparare, Total, Arad, Anul 2001, Lei, 3657347
L Administratie publica si aparare, Total, Arad, Anul 2002, Lei, 5083508
L Administratie publica si aparare, Total, Arad, Anul 2003, Lei, 6850223
L Administratie publica si aparare, Total, Arad, Anul 2004, Lei, 9127874
L Administratie publica si aparare, Total, Arad, Anul 2005, Lei, 1106
L Administratie publica si aparare, Total, Arad, Anul 2006, Lei, 1521
L Administratie publica si aparare, Total, Arad, Anul 2007, Lei, 1848
L Administratie publica si aparare, Total, Arad, Anul 2008, Lei, 2426
L Administratie publica si aparare, Total, Caras-Severin, Anul 1991, Lei, 7284
L Administratie publica si aparare, Total, Caras-Severin, Anul 1992, Lei, 18741
L Administratie publica si aparare, Total, Caras-Severin, Anul 1993, Lei, 47700
L Administratie publica si aparare, Total, Caras-Severin, Anul 1994, Lei, 124177
L Administratie publica si aparare, Total, Caras-Severin, Anul 1995, Lei, 183193
L Administratie publica si aparare, Total, Caras-Severin, Anul 1996, Lei, 239878
L Administratie publica si aparare, Total, Caras-Severin, Anul 1997, Lei, 539021
L Administratie publica si aparare, Total, Caras-Severin, Anul 1998, Lei, 1271030
L Administratie publica si aparare, Total, Caras-Severin, Anul 1999, Lei, 1632893
L Administratie publica si aparare, Total, Caras-Severin, Anul 2000, Lei, 2166307
L Administratie publica si aparare, Total, Caras-Severin, Anul 2001, Lei, 3426104
L Administratie publica si aparare, Total, Caras-Severin, Anul 2002, Lei, 4144211
L Administratie publica si aparare, Total, Caras-Severin, Anul 2003, Lei, 5427159
L Administratie publica si aparare, Total, Caras-Severin, Anul 2004, Lei, 6665369
L Administratie publica si aparare, Total, Caras-Severin, Anul 2005, Lei, 902
L Administratie publica si aparare, Total, Caras-Severin, Anul 2006, Lei, 1087
L Administratie publica si aparare, Total, Caras-Severin, Anul 2007, Lei, 1487
L Administratie publica si aparare, Total, Caras-Severin, Anul 2008, Lei, 1862
L Administratie publica si aparare, Total, Hunedoara, Anul 1991, Lei, 7793
L Administratie publica si aparare, Total, Hunedoara, Anul 1992, Lei, 19741
L Administratie publica si aparare, Total, Hunedoara, Anul 1993, Lei, 59385
L Administratie publica si aparare, Total, Hunedoara, Anul 1994, Lei, 148691
