
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Masculin, MACROREGIUNEA DOI, Anul 2013, Lei, 1404
TOTAL, Masculin, Regiunea NORD-EST, Anul 2011, Lei, 1236
TOTAL, Masculin, Regiunea NORD-EST, Anul 2012, Lei, 1254
TOTAL, Masculin, Regiunea NORD-EST, Anul 2013, Lei, 1345
TOTAL, Masculin, Bacau, Anul 2011, Lei, 1345
TOTAL, Masculin, Bacau, Anul 2012, Lei, 1356
TOTAL, Masculin, Bacau, Anul 2013, Lei, 1410
TOTAL, Masculin, Botosani, Anul 2011, Lei, 1039
TOTAL, Masculin, Botosani, Anul 2012, Lei, 1094
TOTAL, Masculin, Botosani, Anul 2013, Lei, 1224
TOTAL, Masculin, Iasi, Anul 2011, Lei, 1397
TOTAL, Masculin, Iasi, Anul 2012, Lei, 1423
TOTAL, Masculin, Iasi, Anul 2013, Lei, 1563
TOTAL, Masculin, Neamt, Anul 2011, Lei, 1140
TOTAL, Masculin, Neamt, Anul 2012, Lei, 1131
TOTAL, Masculin, Neamt, Anul 2013, Lei, 1184
TOTAL, Masculin, Suceava, Anul 2011, Lei, 1154
TOTAL, Masculin, Suceava, Anul 2012, Lei, 1143
TOTAL, Masculin, Suceava, Anul 2013, Lei, 1245
TOTAL, Masculin, Vaslui, Anul 2011, Lei, 1049
TOTAL, Masculin, Vaslui, Anul 2012, Lei, 1106
TOTAL, Masculin, Vaslui, Anul 2013, Lei, 1179
TOTAL, Masculin, Regiunea SUD-EST, Anul 2011, Lei, 1375
TOTAL, Masculin, Regiunea SUD-EST, Anul 2012, Lei, 1396
TOTAL, Masculin, Regiunea SUD-EST, Anul 2013, Lei, 1460
TOTAL, Masculin, Braila, Anul 2011, Lei, 1274
TOTAL, Masculin, Braila, Anul 2012, Lei, 1244
TOTAL, Masculin, Braila, Anul 2013, Lei, 1334
TOTAL, Masculin, Buzau, Anul 2011, Lei, 1241
TOTAL, Masculin, Buzau, Anul 2012, Lei, 1312
TOTAL, Masculin, Buzau, Anul 2013, Lei, 1351
TOTAL, Masculin, Constanta, Anul 2011, Lei, 1529
TOTAL, Masculin, Constanta, Anul 2012, Lei, 1539
TOTAL, Masculin, Constanta, Anul 2013, Lei, 1569
TOTAL, Masculin, Galati, Anul 2011, Lei, 1386
TOTAL, Masculin, Galati, Anul 2012, Lei, 1439
TOTAL, Masculin, Galati, Anul 2013, Lei, 1522
TOTAL, Masculin, Tulcea, Anul 2011, Lei, 1373
TOTAL, Masculin, Tulcea, Anul 2012, Lei, 1357
TOTAL, Masculin, Tulcea, Anul 2013, Lei, 1514
TOTAL, Masculin, Vrancea, Anul 2011, Lei, 1108
TOTAL, Masculin, Vrancea, Anul 2012, Lei, 1140
TOTAL, Masculin, Vrancea, Anul 2013, Lei, 1196
TOTAL, Masculin, MACROREGIUNEA TREI, Anul 2011, Lei, 1904
