
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Neamt, Anul 2008, Lei, 2162
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Neamt, Anul 2009, Lei, 1859
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Neamt, Anul 2010, Lei, 1581
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Neamt, Anul 2011, Lei, 1539
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Neamt, Anul 2012, Lei, 1728
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Neamt, Anul 2013, Lei, 2042
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Suceava, Anul 2008, Lei, 2181
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Suceava, Anul 2009, Lei, 1880
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Suceava, Anul 2010, Lei, 1788
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Suceava, Anul 2011, Lei, 1676
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Suceava, Anul 2012, Lei, 1842
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Suceava, Anul 2013, Lei, 2184
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vaslui, Anul 2008, Lei, 2124
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vaslui, Anul 2009, Lei, 1871
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vaslui, Anul 2010, Lei, 1630
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vaslui, Anul 2011, Lei, 1582
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vaslui, Anul 2012, Lei, 1746
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vaslui, Anul 2013, Lei, 2088
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-EST, Anul 2008, Lei, 2178
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-EST, Anul 2009, Lei, 1938
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-EST, Anul 2010, Lei, 1786
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-EST, Anul 2011, Lei, 1742
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-EST, Anul 2012, Lei, 1902
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-EST, Anul 2013, Lei, 2175
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Braila, Anul 2008, Lei, 1925
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Braila, Anul 2009, Lei, 1861
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Braila, Anul 2010, Lei, 1629
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Braila, Anul 2011, Lei, 1592
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Braila, Anul 2012, Lei, 1757
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Braila, Anul 2013, Lei, 1945
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Buzau, Anul 2008, Lei, 1885
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Buzau, Anul 2009, Lei, 1767
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Buzau, Anul 2010, Lei, 1632
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Buzau, Anul 2011, Lei, 1528
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Buzau, Anul 2012, Lei, 1650
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Buzau, Anul 2013, Lei, 1888
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Constanta, Anul 2008, Lei, 2560
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Constanta, Anul 2009, Lei, 2078
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Constanta, Anul 2010, Lei, 1969
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Constanta, Anul 2011, Lei, 1923
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Constanta, Anul 2012, Lei, 2081
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Constanta, Anul 2013, Lei, 2418
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Galati, Anul 2008, Lei, 2278
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Galati, Anul 2009, Lei, 2052
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Galati, Anul 2010, Lei, 1865
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Galati, Anul 2011, Lei, 1872
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Galati, Anul 2012, Lei, 2074
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Galati, Anul 2013, Lei, 2361
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Tulcea, Anul 2008, Lei, 2013
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Tulcea, Anul 2009, Lei, 1792
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Tulcea, Anul 2010, Lei, 1688
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Tulcea, Anul 2011, Lei, 1711
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Tulcea, Anul 2012, Lei, 1860
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Tulcea, Anul 2013, Lei, 2125
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vrancea, Anul 2008, Lei, 2121
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vrancea, Anul 2009, Lei, 1914
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vrancea, Anul 2010, Lei, 1749
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vrancea, Anul 2011, Lei, 1647
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vrancea, Anul 2012, Lei, 1821
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Vrancea, Anul 2013, Lei, 2081
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA TREI, Anul 2008, Lei, 2736
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA TREI, Anul 2009, Lei, 2501
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA TREI, Anul 2010, Lei, 2282
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA TREI, Anul 2011, Lei, 2284
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA TREI, Anul 2012, Lei, 2505
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA TREI, Anul 2013, Lei, 2879
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-MUNTENIA, Anul 2008, Lei, 1995
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-MUNTENIA, Anul 2009, Lei, 1797
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-MUNTENIA, Anul 2010, Lei, 1644
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 1584
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 1731
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 1982
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Arges, Anul 2008, Lei, 1913
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Arges, Anul 2009, Lei, 1781
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Arges, Anul 2010, Lei, 1692
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Arges, Anul 2011, Lei, 1604
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Arges, Anul 2012, Lei, 1818
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Arges, Anul 2013, Lei, 2096
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Calarasi, Anul 2008, Lei, 2017
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Calarasi, Anul 2009, Lei, 1839
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Calarasi, Anul 2010, Lei, 1673
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Calarasi, Anul 2011, Lei, 1613
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Calarasi, Anul 2012, Lei, 1746
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Calarasi, Anul 2013, Lei, 1925
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dambovita, Anul 2008, Lei, 1980
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dambovita, Anul 2009, Lei, 1883
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dambovita, Anul 2010, Lei, 1653
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dambovita, Anul 2011, Lei, 1560
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dambovita, Anul 2012, Lei, 1716
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dambovita, Anul 2013, Lei, 1965
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Giurgiu, Anul 2008, Lei, 1751
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Giurgiu, Anul 2009, Lei, 1591
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Giurgiu, Anul 2010, Lei, 1439
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Giurgiu, Anul 2011, Lei, 1512
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Giurgiu, Anul 2012, Lei, 1623
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Giurgiu, Anul 2013, Lei, 1830
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ialomita, Anul 2008, Lei, 1952
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ialomita, Anul 2009, Lei, 1742
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ialomita, Anul 2010, Lei, 1686
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ialomita, Anul 2011, Lei, 1639
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ialomita, Anul 2012, Lei, 1770
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ialomita, Anul 2013, Lei, 1989
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Prahova, Anul 2008, Lei, 2296
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Prahova, Anul 2009, Lei, 1994
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Prahova, Anul 2010, Lei, 1739
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Prahova, Anul 2011, Lei, 1609
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Prahova, Anul 2012, Lei, 1739
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Prahova, Anul 2013, Lei, 2019
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Teleorman, Anul 2008, Lei, 1884
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Teleorman, Anul 2009, Lei, 1593
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Teleorman, Anul 2010, Lei, 1514
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Teleorman, Anul 2011, Lei, 1531
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Teleorman, Anul 2012, Lei, 1656
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Teleorman, Anul 2013, Lei, 1927
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 3239
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Lei, 3045
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Lei, 2765
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 2783
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 3036
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 3467
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ilfov, Anul 2008, Lei, 1531
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ilfov, Anul 2009, Lei, 1644
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ilfov, Anul 2010, Lei, 1357
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ilfov, Anul 2011, Lei, 1557
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ilfov, Anul 2012, Lei, 1613
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Ilfov, Anul 2013, Lei, 1728
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Municipiul Bucuresti, Anul 2008, Lei, 3402
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Municipiul Bucuresti, Anul 2009, Lei, 3163
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Municipiul Bucuresti, Anul 2010, Lei, 2880
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Municipiul Bucuresti, Anul 2011, Lei, 2882
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Municipiul Bucuresti, Anul 2012, Lei, 3146
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Municipiul Bucuresti, Anul 2013, Lei, 3580
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 2182
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA PATRU, Anul 2009, Lei, 1998
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA PATRU, Anul 2010, Lei, 1815
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA PATRU, Anul 2011, Lei, 1693
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA PATRU, Anul 2012, Lei, 1877
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, MACROREGIUNEA PATRU, Anul 2013, Lei, 2140
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 2140
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Lei, 2035
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Lei, 1841
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1707
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 1886
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 2194
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dolj, Anul 2008, Lei, 2106
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dolj, Anul 2009, Lei, 2163
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dolj, Anul 2010, Lei, 2008
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dolj, Anul 2011, Lei, 1772
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dolj, Anul 2012, Lei, 1977
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Dolj, Anul 2013, Lei, 2332
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Gorj, Anul 2008, Lei, 2427
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Gorj, Anul 2009, Lei, 2096
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Gorj, Anul 2010, Lei, 1911
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Gorj, Anul 2011, Lei, 1819
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Gorj, Anul 2012, Lei, 2018
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Gorj, Anul 2013, Lei, 2334
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Mehedinti, Anul 2008, Lei, 2296
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Mehedinti, Anul 2009, Lei, 2070
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Mehedinti, Anul 2010, Lei, 1861
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Mehedinti, Anul 2011, Lei, 1726
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Mehedinti, Anul 2012, Lei, 1865
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Mehedinti, Anul 2013, Lei, 2195
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Olt, Anul 2008, Lei, 1935
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Olt, Anul 2009, Lei, 1823
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Olt, Anul 2010, Lei, 1583
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Olt, Anul 2011, Lei, 1547
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Olt, Anul 2012, Lei, 1709
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Olt, Anul 2013, Lei, 2006
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Valcea, Anul 2008, Lei, 2036
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Valcea, Anul 2009, Lei, 1961
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Valcea, Anul 2010, Lei, 1758
O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Total, Valcea, Anul 2011, Lei, 1641
