
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2002, Lei RON, 231
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2003, Lei RON, 329
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2004, Lei RON, 406
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2005, Lei RON, 484
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2006, Lei RON, 515
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2007, Lei RON, 622
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2008, Lei RON, 750
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2009, Lei RON, 857
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2010, Lei RON, 894
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2011, Lei RON, 951
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2012, Lei RON, 994
Total, Total, 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor, Anul 2013, Lei RON, 1054
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2000, Lei RON, 138
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2001, Lei RON, 176
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2002, Lei RON, 212
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2003, Lei RON, 299
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2004, Lei RON, 365
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2005, Lei RON, 453
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2006, Lei RON, 474
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2007, Lei RON, 600
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2008, Lei RON, 726
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2009, Lei RON, 764
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2010, Lei RON, 811
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2011, Lei RON, 911
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2012, Lei RON, 1010
Total, Total, 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite, Anul 2013, Lei RON, 1009
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2000, Lei RON, 208
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2001, Lei RON, 299
Total, Total, 17 Fabricarea hartiei si a produselor din hartie, Anul 2002, Lei RON, 363
