
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Masculin, S  ALTE ACTIVITATI DE SERVICII, Anul 2013, Lei RON, 1158
Total, Feminin, TOTAL, Anul 2003, Lei RON, 435
Total, Feminin, TOTAL, Anul 2004, Lei RON, 549
Total, Feminin, TOTAL, Anul 2005, Lei RON, 689
Total, Feminin, TOTAL, Anul 2006, Lei RON, 803
Total, Feminin, TOTAL, Anul 2007, Lei RON, 981
Total, Feminin, TOTAL, Anul 2008, Lei RON, 1264
Total, Feminin, TOTAL, Anul 2009, Lei RON, 1310
Total, Feminin, TOTAL, Anul 2010, Lei RON, 1308
Total, Feminin, TOTAL, Anul 2011, Lei RON, 1349
Total, Feminin, TOTAL, Anul 2012, Lei RON, 1424
Total, Feminin, TOTAL, Anul 2013, Lei RON, 1509
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2003, Lei RON, 356
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2004, Lei RON, 475
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2005, Lei RON, 503
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2006, Lei RON, 602
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2007, Lei RON, 733
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2008, Lei RON, 897
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2009, Lei RON, 986
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2010, Lei RON, 1010
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2011, Lei RON, 1012
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2012, Lei RON, 1055
Total, Feminin, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2013, Lei RON, 1141
Total, Feminin, INDUSTRIE, Anul 2003, Lei RON, 397
Total, Feminin, INDUSTRIE, Anul 2004, Lei RON, 502
Total, Feminin, INDUSTRIE, Anul 2005, Lei RON, 604
Total, Feminin, INDUSTRIE, Anul 2006, Lei RON, 671
Total, Feminin, INDUSTRIE, Anul 2007, Lei RON, 801
Total, Feminin, INDUSTRIE, Anul 2008, Lei RON, 989
Total, Feminin, INDUSTRIE, Anul 2009, Lei RON, 1082
Total, Feminin, INDUSTRIE, Anul 2010, Lei RON, 1170
Total, Feminin, INDUSTRIE, Anul 2011, Lei RON, 1238
Total, Feminin, INDUSTRIE, Anul 2012, Lei RON, 1300
Total, Feminin, INDUSTRIE, Anul 2013, Lei RON, 1370
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2003, Lei RON, 721
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2004, Lei RON, 873
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2005, Lei RON, 1172
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2006, Lei RON, 1408
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2007, Lei RON, 1712
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2008, Lei RON, 2315
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2009, Lei RON, 2294
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2010, Lei RON, 2480
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2011, Lei RON, 2705
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2012, Lei RON, 2946
Total, Feminin, B  INDUSTRIA EXTRACTIVA, Anul 2013, Lei RON, 3113
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2003, Lei RON, 377
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2004, Lei RON, 479
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2005, Lei RON, 567
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2006, Lei RON, 627
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2007, Lei RON, 749
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2008, Lei RON, 915
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2009, Lei RON, 1000
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2010, Lei RON, 1085
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2011, Lei RON, 1153
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2012, Lei RON, 1212
Total, Feminin, C  INDUSTRIA PRELUCRATOARE, Anul 2013, Lei RON, 1283
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2003, Lei RON, 753
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2004, Lei RON, 916
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2005, Lei RON, 1264
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2006, Lei RON, 1466
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2007, Lei RON, 1748
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2008, Lei RON, 2273
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2009, Lei RON, 2425
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2010, Lei RON, 2576
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2011, Lei RON, 2690
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2012, Lei RON, 2836
Total, Feminin, D  PRODUCTIA SI FURNIZAREA DE ENERGIE ELECTRICA SI TERMICA  GAZE  APA CALDA SI AER CONDITIONAT, Anul 2013, Lei RON, 2816
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2003, Lei RON, 434
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2004, Lei RON, 532
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2005, Lei RON, 648
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2006, Lei RON, 757
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2007, Lei RON, 928
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2008, Lei RON, 1122
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2009, Lei RON, 1209
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2010, Lei RON, 1260
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2011, Lei RON, 1337
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2012, Lei RON, 1386
Total, Feminin, E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Anul 2013, Lei RON, 1548
Total, Feminin, F  CONSTRUCTII, Anul 2003, Lei RON, 439
Total, Feminin, F  CONSTRUCTII, Anul 2004, Lei RON, 546
Total, Feminin, F  CONSTRUCTII, Anul 2005, Lei RON, 648
Total, Feminin, F  CONSTRUCTII, Anul 2006, Lei RON, 730
Total, Feminin, F  CONSTRUCTII, Anul 2007, Lei RON, 952
Total, Feminin, F  CONSTRUCTII, Anul 2008, Lei RON, 1325
Total, Feminin, F  CONSTRUCTII, Anul 2009, Lei RON, 1267
Total, Feminin, F  CONSTRUCTII, Anul 2010, Lei RON, 1250
Total, Feminin, F  CONSTRUCTII, Anul 2011, Lei RON, 1450
Total, Feminin, F  CONSTRUCTII, Anul 2012, Lei RON, 1374
Total, Feminin, F  CONSTRUCTII, Anul 2013, Lei RON, 1398
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2003, Lei RON, 320
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2004, Lei RON, 388
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2005, Lei RON, 502
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2006, Lei RON, 561
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2007, Lei RON, 731
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2008, Lei RON, 952
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2009, Lei RON, 941
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2010, Lei RON, 1017
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2011, Lei RON, 1103
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2012, Lei RON, 1176
Total, Feminin, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2013, Lei RON, 1192
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2003, Lei RON, 558
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2004, Lei RON, 692
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2005, Lei RON, 808
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2006, Lei RON, 860
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2007, Lei RON, 1092
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2008, Lei RON, 1453
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2009, Lei RON, 1468
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2010, Lei RON, 1546
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2011, Lei RON, 1550
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2012, Lei RON, 1677
Total, Feminin, H  TRANSPORT SI DEPOZITARE, Anul 2013, Lei RON, 1700
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2003, Lei RON, 306
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2004, Lei RON, 381
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2005, Lei RON, 429
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2006, Lei RON, 501
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2007, Lei RON, 614
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2008, Lei RON, 757
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2009, Lei RON, 764
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2010, Lei RON, 759
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2011, Lei RON, 808
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2012, Lei RON, 811
Total, Feminin, I  HOTELURI SI RESTAURANTE, Anul 2013, Lei RON, 857
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2003, Lei RON, 913
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2004, Lei RON, 1012
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2005, Lei RON, 1253
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2006, Lei RON, 1355
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2007, Lei RON, 1624
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2008, Lei RON, 2033
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2009, Lei RON, 2419
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2010, Lei RON, 2465
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2011, Lei RON, 2744
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2012, Lei RON, 2799
Total, Feminin, J  INFORMATII SI COMUNICATII, Anul 2013, Lei RON, 2815
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2003, Lei RON, 1144
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2004, Lei RON, 1502
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2005, Lei RON, 1947
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2006, Lei RON, 2085
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2007, Lei RON, 2479
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2008, Lei RON, 2966
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2009, Lei RON, 2845
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2010, Lei RON, 2907
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2011, Lei RON, 3094
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2012, Lei RON, 3263
Total, Feminin, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2013, Lei RON, 3257
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2003, Lei RON, 410
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2004, Lei RON, 458
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2005, Lei RON, 574
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2006, Lei RON, 703
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2007, Lei RON, 1053
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2008, Lei RON, 1244
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2009, Lei RON, 1204
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2010, Lei RON, 1154
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2011, Lei RON, 1159
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2012, Lei RON, 1238
Total, Feminin, L  TRANZACTII IMOBILIARE, Anul 2013, Lei RON, 1341
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2003, Lei RON, 618
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2004, Lei RON, 825
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2005, Lei RON, 985
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2006, Lei RON, 1139
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2007, Lei RON, 1502
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2008, Lei RON, 1742
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2009, Lei RON, 1825
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2010, Lei RON, 1869
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2011, Lei RON, 1990
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2012, Lei RON, 2156
Total, Feminin, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2013, Lei RON, 2255
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2003, Lei RON, 336
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2004, Lei RON, 443
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2005, Lei RON, 516
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2006, Lei RON, 578
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2007, Lei RON, 737
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2008, Lei RON, 962
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2009, Lei RON, 988
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2010, Lei RON, 1074
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2011, Lei RON, 1105
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2012, Lei RON, 1222
Total, Feminin, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2013, Lei RON, 1326
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2003, Lei RON, 668
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2004, Lei RON, 837
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2005, Lei RON, 1144
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2006, Lei RON, 1563
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2007, Lei RON, 2079
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2008, Lei RON, 2542
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2009, Lei RON, 2243
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2010, Lei RON, 2069
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2011, Lei RON, 1961
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2012, Lei RON, 2163
Total, Feminin, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2013, Lei RON, 2494
Total, Feminin, P  INVATAMANT, Anul 2003, Lei RON, 456
Total, Feminin, P  INVATAMANT, Anul 2004, Lei RON, 612
Total, Feminin, P  INVATAMANT, Anul 2005, Lei RON, 792
Total, Feminin, P  INVATAMANT, Anul 2006, Lei RON, 1006
Total, Feminin, P  INVATAMANT, Anul 2007, Lei RON, 1093
Total, Feminin, P  INVATAMANT, Anul 2008, Lei RON, 1448
Total, Feminin, P  INVATAMANT, Anul 2009, Lei RON, 1525
Total, Feminin, P  INVATAMANT, Anul 2010, Lei RON, 1319
Total, Feminin, P  INVATAMANT, Anul 2011, Lei RON, 1254
Total, Feminin, P  INVATAMANT, Anul 2012, Lei RON, 1314
Total, Feminin, P  INVATAMANT, Anul 2013, Lei RON, 1461
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2003, Lei RON, 389
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2004, Lei RON, 499
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2005, Lei RON, 647
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2006, Lei RON, 777
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2007, Lei RON, 887
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2008, Lei RON, 1238
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2009, Lei RON, 1306
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2010, Lei RON, 1197
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2011, Lei RON, 1181
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2012, Lei RON, 1281
Total, Feminin, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2013, Lei RON, 1414
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2003, Lei RON, 427
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2004, Lei RON, 541
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2005, Lei RON, 664
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2006, Lei RON, 725
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2007, Lei RON, 814
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2008, Lei RON, 1163
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2009, Lei RON, 1219
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2010, Lei RON, 1085
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2011, Lei RON, 1049
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2012, Lei RON, 1099
Total, Feminin, R  ACTIVITATI DE SPECTACOLE  CULTURALE SI RECREATIVE, Anul 2013, Lei RON, 1163
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2003, Lei RON, 275
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2004, Lei RON, 339
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2005, Lei RON, 420
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2006, Lei RON, 483
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2007, Lei RON, 521
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2008, Lei RON, 699
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2009, Lei RON, 709
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2010, Lei RON, 715
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2011, Lei RON, 754
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2012, Lei RON, 819
Total, Feminin, S  ALTE ACTIVITATI DE SERVICII, Anul 2013, Lei RON, 861
