;0;Cégnév;Árbevétel 2017 (RON);Árbevétel 2016 (RON);Árbevétel 2015 (RON);Árbevétel 2014 (RON);region;nr;coords;kws;cms
244;45;MULTIPLAN ELECTRONICS SRL;49 848 423;39 005 115;29 238 871;21 939 776;marosszek;45;['46.557026', ' 24.556589'];"['szamitastechnika', '', '""']";540252, Marosv\xe1s\xe1rhely, Maros u., 17\t
245;46;CLINI LAB SRL;48 514 532;46 536 787;41 684 349;38 172 276;marosszek;46;['46.540108', ' 24.553939'];"['farmakologiai-termekek', '', '""']";540342, Marosv\xe1s\xe1rhely, Radnai u., 15\t
246;47;SEVEN TOWERS SRL;47 076 863;27 470 285;8 327 984;8 888 334;marosszek;47;['46.4256040', ' 24.6684130'];"['kereskedelem', '', '""']";547007, G\xf6cs, , 33\t
247;48;DEVELTOR SRL;46 520 511;45 625 229;8 217 326;29 259 090;marosszek;48;['46.543257', ' 24.547673'];"['asvanyviz-kitermeles', '', '""']";540175, Marosv\xe1s\xe1rhely, Mez\xf5 u., 15/ C1/ P\t
248;49;DAFCOCHIM DISTRIBUTION SRL;46 498 910;20 493 136;0;0;marosszek;49;['46.5240790', ' 24.5478750'];"['vegytermekek', '', '""']";540390, Marosv\xe1s\xe1rhely, Bodoni u., 62-68\t
249;50;OQEMA RO SRL;45 153 895;39 787 684;39 419 323;39 928 616;marosszek;50;['46.5362100', ' 24.5561830'];"['vegytermekek', '', '""']";540342, Marosv\xe1s\xe1rhely, D\xf3zsa Gy\xf6rgy u., 17\t
250;1;ROMAQUA GROUP SA;725 126 678;693 317 570;632 129 861;561 015 428;gyergyoszek;1;['46.97242', ' 25.560612'];"['asvanyviz-kitermeles', 'asvanyviz-palackozas', '', '""']";535300, Borsz\xe9k, K\xe1rp\xe1tok u., 46\t
251;2;ARTERIMPEX SRL;47 264 289;45 909 872;40 492 882;30 558 733;gyergyoszek;2;['46.721474 ', ' 25.586541 '];"['h\\xfasboltok', 'vagohid', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 239\t
252;3;TOPLITA SA;36 915 831;22 692 396;10 338 185;9 399 317;gyergyoszek;3;['46.9265830', ' 25.3456390'];"['labbeli', 'labbeli-es-cipo', '', '""']";535700, Marosh\xe9v\xedz, \xaatefan cel Mare u., 84\t
253;4;INDUSTRY TRANSILVAN SRL;31 598 398;29 030 008;32 542 783;34 554 504;gyergyoszek;4;['46.723683 ', ' 25.585721 '];"['brikettgyartas', 'b\\xfatorok', 'faipari-gepek', 'gepek-forgalmazasa', 'kerti-b\\xfatorok', 'kisb\\xfatorok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 158\t
254;5;GENEX COM SRL;24 971 099;21 785 198;18 216 847;17 773 622;gyergyoszek;5;['46.866531', ' 25.446213'];"['arufuvarozas-bel--es-kulfoldi', 'fafeldolgozas', 'fahazak', '', '""']";537262, Gyergy\xf3hodos, F\xf5 u., 1117\t
255;6;ROMAQUA SERV SA;23 558 148;21 254 580;18 586 397;17 045 703;gyergyoszek;6;['46.9706620', ' 25.5577690'];"['asvanyviz-forgalmazas', '', '""']";535300, Borsz\xe9k, K\xe1rp\xe1tok u., 46/C\t
256;7;HAMERLEMN 2004 SRL;21 531 777;13 888 120;26 153 760;32 984 657;gyergyoszek;7;['46.6989300', ' 25.5049070'];"['epitkezes', 'epuletfel\\xfajitas', '', '""']";537130, Gyergy\xf3alfalu, F\xf5 u., 123\t
257;8;FORTRANS DETROIT SRL;20 650 067;17 718 598;15 268 493;12 428 074;gyergyoszek;8;['46.8107480', ' 25.5014360'];"['epitoanyagok', 'szaniter-berendezesek', '', '""']";537090, Gyergy\xf3ditr\xf3, Orb\xe1n Bal\xe1zs u., 75\t
258;9;ALMI ROM SRL;18 494 022;14 487 619;12 418 359;11 362 558;gyergyoszek;9;['46.7144880', ' 25.5755780'];"['elelmiszer-adalekanyagok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 222\t
259;10;CONTINENTAL COMMERCE IMPORT & EXPORT SRL;17 512 362;17 319 619;16 768 049;12 683 041;gyergyoszek;10;['46.7212110', ' 25.5855270'];"['kozmetikai-cikkek', 'tisztitoszerek-es-mososzerek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, \xc1llom\xe1s u., 4/D\t
260;11;GOLDEN SRL;16 291 537;15 326 460;14 428 957;12 221 506;gyergyoszek;11;['46.8107480', ' 25.5014360'];"['elelmiszeruzletek', 'vegyes-uzletek', '', '""']";"537090, Gyergy\xf3ditr\xf3, B&#259;lcescu, Nicolae u., 192\t"
261;12;AUTHENTIC MEAT SRL;15 900 565;11 904 259;8 926 013;6 018 952;gyergyoszek;12;['46.7156020', ' 25.5791690'];"['h\\xfas-es-hentesaru', 'h\\xfasuzletek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 239\t
262;13;OCOLUL SILVIC DE REGIM GHEORGHENI SA;14 716 851;8 697 514;10 668 061;9 810 058;gyergyoszek;13;['46.7159110', ' 25.5807080'];"['erdeszeti-hivatalok', 'intezmenyek-es-hivatalok', 'fakitermeles', 'kozbirtokossagok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 36\t
263;14;MOBILE DISTRIBUTION SRL;13 948 016;14 772 764;16 277 024;16 931 740;gyergyoszek;14;['46.721358 ', ' 25.592394 '];"['telefonfuggetlenites-dekodolas', 'telefontolto-kartyak', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Vir\xe1g lak\xf3negyed, 43C/3\t
264;15;ROMTOP INDUSTRIES SA;13 633 883;14 031 163;13 248 688;12 269 534;gyergyoszek;15;['46.926597', '  25.345660'];"['gyapj\\xfatermekek', '', '""']";"535700, Marosh\xe9v\xedz, &#350;tefan cel Mare u., 80\t"
265;16;DOMO WELLNESS ROMANIA SRL;12 990 387;5 097 381;4 182 168;5 805 971;gyergyoszek;16;['45.8647650', ' 25.7784270'];"['szaunak', 'wellness', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Stadion u., 4\t
266;17;WERNETTO SRL;12 704 346;6 602 913;1 813 259;1 813 259;gyergyoszek;17;['46.7212110', ' 25.5855270'];"['epitkezes', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Dr. Jakab Antal t\xe9r, 6\t
267;18;VIASTRADA SRL;12 107 718;9 049 705;7 945 073;8 452 400;gyergyoszek;18;['46.6960280', ' 25.5981230'];"['bel--es-kulfoldi-arufuvarozas', 'foldmunkalatok', '', '""']";537309, Teker\xf5patak, , 143/B\t
268;19;AMECO RENEWABLE ENERGY SRL;11 285 020;7 623 894;19 744 193;21 180 409;gyergyoszek;19;['46.718254', ' 25.574541'];"['fafeldolgozas', '', '""']";537130, Gyergy\xf3alfalu, , 1\t
269;20;CRITOS DISTRIBUTION SRL;11 016 466;11 268 979;10 162 254;10 544 655;gyergyoszek;20;['46.9222460', ' 25.3520200'];"['szeszes-italok', '', '""']";535700, Marosh\xe9v\xedz, Miron Cristea u., 5\t
270;21;ASTORIA SERVICE SRL;10 909 641;10 477 024;10 381 982;8 655 661;gyergyoszek;21;['46.9260300', ' 25.3534040'];"['epitoanyagok', '', '""']";535700, Marosh\xe9v\xedz, Sportol\xf3k u., 1\t
271;22;UPS DISTRIBUTION SRL;9 939 657;8 901 784;8 323 927;8 549 844;gyergyoszek;22;['46.715585', ' 25.602353'];"['szamitogepek', 'szoftverek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, G\xe1bor \xc1ron u., 3\t
272;23;FAPICOM SRL;9 473 518;8 874 677;9 518 762;9 504 698;gyergyoszek;23;['46.714782', ' 25.576279 '];"['kenyer-es-pekaru', 'pektermekek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 222/F\t
273;24;IMPORT EXPORT PAL MAR SRL;9 222 849;6 366 997;7 134 113;7 560 280;gyergyoszek;24;['46.729375', ' 25.588553'];"['tojas', 'tojastermeles', 'ty\\xfakfarm', '', '""']";535400, Gyergy\xf3szentmikl\xf3s, T\xfbzolt\xf3k u., 156\t
274;25;SAVILCOM SRL;9 100 470;9 049 102;8 497 060;8 923 016;gyergyoszek;25;['46.7209110', ' 25.5849310'];"['elelmiszer-nagykereskedes', 'ipari-vegyesuzletek', 'nagykereskedelem', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Bucsin lak\xf3negyed, 26\t
275;26;TREFOREX SRL;8 797 885;7 595 304;8 769 887;8 072 506;gyergyoszek;26;['46.929121', ' 25.359471'];"['fafeldolgozas', '', '""']";535700, Marosh\xe9v\xedz, M\xe1rton \xc1ron u., 9/A\t
276;27;DETROIT CITY IMPORT EXPORT SRL;8 782 844;8 099 544;10 449 819;10 195 023;gyergyoszek;27;['46.8107480', ' 25.5014360'];"['falepcsok', 'famegmunkalas', '', '""']";537090, Gyergy\xf3ditr\xf3, Maros u., 104\t
277;28;INDUSTRY STEEL CORP SRL;8 481 570;8 881 564;7 859 164;6 926 746;gyergyoszek;28;['46.723683 ', ' 25.585721 '];"['csavarok-es-kotoelemek', 'vasalatok-gyartasa', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 157\t
278;29;SEA CARGO SRL;8 426 572;8 333 554;7 890 734;6 822 320;gyergyoszek;29;['46.8078110', ' 25.4963690'];"['autoalkatreszek', 'csavarok-es-kotoelemek', '', '""']";537090, Gyergy\xf3ditr\xf3, Tom\xe1k u., 14\t
279;30;SABINUS SRL;8 102 753;6 609 304;7 175 931;10 862 773;gyergyoszek;30;['46.910600', ' 25.402202'];"['uzemanyagok', '', '""']";537120, Gal\xf3c\xe1s, F\xf5 u., 426\t
280;31;P & P MIXT SRL;7 842 450;9 320 350;9 200 903;8 584 499;gyergyoszek;31;['46.7234190', ' 25.5820830'];"['vasalatok-gyartasa', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 157\t
281;32;AUTO COM TOTAL SRL;7 828 985;7 508 759;6 958 470;6 886 191;gyergyoszek;32;['46.8107480', ' 25.5014360'];"['autoalkatreszek', 'autojavitas', 'automosas', 'gumiabroncs-szereles-es-javitas', 'gumiabroncsok', '', '""']";537090, Gyergy\xf3ditr\xf3, Jakab Antal u., 5\t
282;33;TOTAL MOTOR SERV SRL;7 727 836;4 216 574;4 165 892;238 629;gyergyoszek;33;['46.6662910', ' 25.5553110'];"['epitkezes', '', '""']";537305, Gyergy\xf3\xfajfalu, , 674/A\t
283;34;TROPICAL SRL;7 698 693;6 656 268;7 113 164;8 511 397;gyergyoszek;34;['46.700000', ' 25.500000 '];"['bel--es-kulfoldi-arufuvarozas', 'kulfoldi-szallitas', 'nemzetkozi-aruszallitas', '', '""']";537130, Gyergy\xf3alfalu, Bakta u., 150/A\t
284;35;STABILITEX BAU CONS SRL;7 449 354;4 409 177;3 170 080;1 992 867;gyergyoszek;35;['46.7966910', ' 25.4871800'];"['epitkezesi-szolgaltatasok', '', '""']";537090, Gyergy\xf3ditr\xf3, Szarvas u., 41\t
285;36;MARKET LINE SRL;7 429 419;6 830 449;5 630 909;3 465 190;gyergyoszek;36;['46.7219240', ' 25.5914410'];"['kereskedelem', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Vir\xe1g lak\xf3negyed, 23/A/1\t
286;37;RENCO SRL;6 965 199;5 999 537;5 793 655;6 390 483;gyergyoszek;37;['46.721474', ' 25.586541'];"['cipo-es-labbeli', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Testv\xe9ris\xe9g sgt., 25\t
287;38;WIKEND FOREST IMPEX SRL;6 952 665;7 195 045;7 843 382;5 227 975;gyergyoszek;38;['46.7963040', ' 25.4426580'];"['\\xfat--es-hidepites', '', '""']";537250, Gyergy\xf3remete, Bal\xe1s G\xe1bor u., 9\t
288;39;TARSAK BOLTJA SRL;6 904 529;7 077 068;6 378 830;6 534 920;gyergyoszek;39;['46.7185520', ' 25.6022520'];"['h\\xfasfeldolgozas', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, G\xe1bor \xc1ron u., 9\t
289;40;END IBO SRL;6 755 781;5 942 585;5 705 291;5 113 082;gyergyoszek;40;['46.8069710', ' 25.4600040'];"['csokoladek', 'edesseggyartas', '', '""']";537250, Gyergy\xf3remete, Alszegi u., 81\t
290;41;KOBEZOL SRL;6 663 738;6 377 209;5 375 792;6 657 930;gyergyoszek;41;['46.720932 ', ' 25.599863 '];"['ajto-ablakgyartas', 'parafa-burkolatok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Szabads\xe1g t\xe9r, 27/A\t
291;42;DEMETRA SRL;6 530 895;9 045 462;10 409 313;9 676 595;gyergyoszek;42;['46.7234190', ' 25.5820830'];"['eloallat-forgalmazas', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 151\t
292;43;PREFERATO SRL;6 416 835;5 000 989;4 496 827;3 658 072;gyergyoszek;43;['46.7250360', ' 25.6048970'];"['ajto-ablakgyartas', 'muanyag-nyilaszarok', '', 'automatik\\xe1k', 'k\\xfcls\\xf5 red\\xf5ny\\xf6k', '""']";535500, Gyergy\xf3szentmikl\xf3s, Temet\xf5 u., 2/A\t
293;44;COPET DINEX SRL;6 082 753;5 224 041;5 741 688;8 232 779;gyergyoszek;44;['46.8539390', ' 25.3657040'];"['fafeldolgozas', '', '""']";537301, C\xe3lnaci, F\xf5 u., 74\t
294;45;HOME LAND FACTORY SRL;5 924 051;3 765 834;1 213 412;634 560;gyergyoszek;45;['46.6917450', ' 25.4429830'];"['szallasolas', '', '""']";537131, Borzont, , 135/A\t
295;46;BARTALIS & DANIEL SRL;5 826 795;4 058 304;3 448 483;2 009 255;gyergyoszek;46;['46.8070000', ' 25.5025000'];"['kereskedelem', '', '""']";"537090, Gyergy\xf3ditr\xf3, B&#259;lcescu, Nicolae u., 260\t"
296;47;DOMINIC OIL SRL;5 754 812;5 240 553;5 320 592;4 604 695;gyergyoszek;47;['46.7963040', ' 25.4426580'];"['benzinkutak', 'uzemanyagtolto-allomasok', '', '""']";537250, Gyergy\xf3remete, B\xe1nya u., 2\t
297;48;PIETA SRL;5 586 965;5 814 260;7 237 018;9 410 768;gyergyoszek;48;['46.7234430', ' 25.5970770'];"['cipo-es-labbeli', 'labbeli-es-cipo', '', '""']";"535500, Gyergy\xf3szentmikl\xf3s, B&#259;lcescu, Nicolae u., 10\t"
298;49;ABRAZIV SRL;5 483 275;0;0;0;gyergyoszek;49;['46.7174250', ' 25.5751650'];"['szerszamgepek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, \xc1llom\xe1s u., 4\t
299;50;PLAST KING SRL;5 465 920;8 801 874;7 587 552;6 169 539;gyergyoszek;50;['46.7963040', ' 25.4426580'];"['haztartasi-cikkek', 'muanyag-termekek', '', '""']";9562460, Gyergy\xf3remete, Szent Istv\xe1n u., 72\t
