
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, 45. Pluta si articole din pluta, Luna august 2014, Mii EURO, 265
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2014, Mii EURO, 558
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2014, Mii EURO, 408
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2014, Mii EURO, 473
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2014, Mii EURO, 387
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2015, Mii EURO, 224
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2015, Mii EURO, 557
TOTAL, 45. Pluta si articole din pluta, Luna martie 2015, Mii EURO, 446
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2015, Mii EURO, 497
TOTAL, 45. Pluta si articole din pluta, Luna mai 2015, Mii EURO, 369
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2015, Mii EURO, 430
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2015, Mii EURO, 375
TOTAL, 45. Pluta si articole din pluta, Luna august 2015, Mii EURO, 424
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2015, Mii EURO, 443
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2015, Mii EURO, 517
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2015, Mii EURO, 583
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2015, Mii EURO, 401
TOTAL, 45. Pluta si articole din pluta, Luna ianuarie 2016, Mii EURO, 579
TOTAL, 45. Pluta si articole din pluta, Luna februarie 2016, Mii EURO, 493
TOTAL, 45. Pluta si articole din pluta, Luna martie 2016, Mii EURO, 544
TOTAL, 45. Pluta si articole din pluta, Luna aprilie 2016, Mii EURO, 600
TOTAL, 45. Pluta si articole din pluta, Luna mai 2016, Mii EURO, 305
TOTAL, 45. Pluta si articole din pluta, Luna iunie 2016, Mii EURO, 475
TOTAL, 45. Pluta si articole din pluta, Luna iulie 2016, Mii EURO, 550
TOTAL, 45. Pluta si articole din pluta, Luna august 2016, Mii EURO, 536
TOTAL, 45. Pluta si articole din pluta, Luna septembrie 2016, Mii EURO, 585
TOTAL, 45. Pluta si articole din pluta, Luna octombrie 2016, Mii EURO, 365
TOTAL, 45. Pluta si articole din pluta, Luna noiembrie 2016, Mii EURO, 636
TOTAL, 45. Pluta si articole din pluta, Luna decembrie 2016, Mii EURO, 545
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2011, Mii EURO, 156
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2011, Mii EURO, 281
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2011, Mii EURO, 309
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2011, Mii EURO, 210
