
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Total, Mures, Anul 1995, Mii metri cubi, 547.6
Total, Mures, Anul 1996, Mii metri cubi, 569.5
Total, Mures, Anul 1997, Mii metri cubi, 619.9
Total, Mures, Anul 1998, Mii metri cubi, 524.7
Total, Mures, Anul 1999, Mii metri cubi, 568.2
Total, Mures, Anul 2000, Mii metri cubi, 570.7
Total, Mures, Anul 2001, Mii metri cubi, 622.4
Total, Mures, Anul 2002, Mii metri cubi, 492.8
Total, Mures, Anul 2003, Mii metri cubi, 642.7
Total, Mures, Anul 2004, Mii metri cubi, 764.2
Total, Mures, Anul 2005, Mii metri cubi, 772.8
Total, Mures, Anul 2006, Mii metri cubi, 759.6
Total, Mures, Anul 2007, Mii metri cubi, 922
Total, Mures, Anul 2008, Mii metri cubi, 674.3
Total, Mures, Anul 2009, Mii metri cubi, 708.7
Total, Mures, Anul 2010, Mii metri cubi, 554.5
Total, Mures, Anul 2011, Mii metri cubi, 877.2
Total, Mures, Anul 2012, Mii metri cubi, 809.3
Total, Mures, Anul 2013, Mii metri cubi, 796
Total, Mures, Anul 2014, Mii metri cubi, 844.7
Total, Mures, Anul 2015, Mii metri cubi, 561.6
Total, Sibiu, Anul 1990, Mii metri cubi, 367.7
Total, Sibiu, Anul 1991, Mii metri cubi, 311
Total, Sibiu, Anul 1992, Mii metri cubi, 296.3
Total, Sibiu, Anul 1993, Mii metri cubi, 236.8
Total, Sibiu, Anul 1994, Mii metri cubi, 226.5
Total, Sibiu, Anul 1995, Mii metri cubi, 237.7
Total, Sibiu, Anul 1996, Mii metri cubi, 264
Total, Sibiu, Anul 1997, Mii metri cubi, 273.1
Total, Sibiu, Anul 1998, Mii metri cubi, 242.1
Total, Sibiu, Anul 1999, Mii metri cubi, 294.7
Total, Sibiu, Anul 2000, Mii metri cubi, 377.8
Total, Sibiu, Anul 2001, Mii metri cubi, 397.4
Total, Sibiu, Anul 2002, Mii metri cubi, 346.7
Total, Sibiu, Anul 2003, Mii metri cubi, 401.6
Total, Sibiu, Anul 2004, Mii metri cubi, 427.4
Total, Sibiu, Anul 2005, Mii metri cubi, 415
Total, Sibiu, Anul 2006, Mii metri cubi, 457.9
Total, Sibiu, Anul 2007, Mii metri cubi, 447
Total, Sibiu, Anul 2008, Mii metri cubi, 467.1
Total, Sibiu, Anul 2009, Mii metri cubi, 914.7
Total, Sibiu, Anul 2010, Mii metri cubi, 503.9
