
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
Arad, X. Hirtie si articole din acestea, Luna noiembrie 2013, Mii EURO, 2007
Arad, X. Hirtie si articole din acestea, Luna decembrie 2013, Mii EURO, 1036
Arad, X. Hirtie si articole din acestea, Luna ianuarie 2014, Mii EURO, 1583
Arad, X. Hirtie si articole din acestea, Luna februarie 2014, Mii EURO, 1543
Arad, X. Hirtie si articole din acestea, Luna martie 2014, Mii EURO, 1719
Arad, X. Hirtie si articole din acestea, Luna aprilie 2014, Mii EURO, 1704
Arad, X. Hirtie si articole din acestea, Luna mai 2014, Mii EURO, 1794
Arad, X. Hirtie si articole din acestea, Luna iunie 2014, Mii EURO, 1924
Arad, X. Hirtie si articole din acestea, Luna iulie 2014, Mii EURO, 1763
Arad, X. Hirtie si articole din acestea, Luna august 2014, Mii EURO, 1030
Arad, X. Hirtie si articole din acestea, Luna septembrie 2014, Mii EURO, 1824
Arad, X. Hirtie si articole din acestea, Luna octombrie 2014, Mii EURO, 1831
Arad, X. Hirtie si articole din acestea, Luna noiembrie 2014, Mii EURO, 1947
Arad, X. Hirtie si articole din acestea, Luna decembrie 2014, Mii EURO, 1327
Arad, X. Hirtie si articole din acestea, Luna ianuarie 2015, Mii EURO, 1402
Arad, X. Hirtie si articole din acestea, Luna februarie 2015, Mii EURO, 1432
Arad, X. Hirtie si articole din acestea, Luna martie 2015, Mii EURO, 1586
Arad, X. Hirtie si articole din acestea, Luna aprilie 2015, Mii EURO, 1581
Arad, X. Hirtie si articole din acestea, Luna mai 2015, Mii EURO, 1639
Arad, X. Hirtie si articole din acestea, Luna iunie 2015, Mii EURO, 2002
Arad, X. Hirtie si articole din acestea, Luna iulie 2015, Mii EURO, 1952
Arad, X. Hirtie si articole din acestea, Luna august 2015, Mii EURO, 1133
Arad, X. Hirtie si articole din acestea, Luna septembrie 2015, Mii EURO, 1897
Arad, X. Hirtie si articole din acestea, Luna octombrie 2015, Mii EURO, 1530
Arad, X. Hirtie si articole din acestea, Luna noiembrie 2015, Mii EURO, 1651
